"263_S5"	"265_S6"	"268_S4"	"276_S2"	"277_S3"	"287_S1"
"ENSMUSG00000101372"	0	0	5	0	0	0
"ENSMUSG00000086240"	0	5	7	11	3	5
"ENSMUSG00000058590"	0	0	6	0	0	0
"ENSMUSG00000099492"	10	46	280	42	54	52
"ENSMUSG00000100261"	0	0	0	6	0	1
"ENSMUSG00000048874"	3	277	147	291	233	430
"ENSMUSG00000103783"	0	0	0	0	0	47
"ENSMUSG00000104315"	31	0	0	5	120	0
"ENSMUSG00000117310"	0	2	0	0	0	0
"ENSMUSG00000026064"	11	40	0	0	9	0
"ENSMUSG00000070960"	0	0	0	0	0	2
"ENSMUSG00000100481"	0	0	7	2	0	0
"ENSMUSG00000100590"	0	0	6	0	0	0
"ENSMUSG00000026134"	50	248	5	79	185	2
"ENSMUSG00000101682"	0	1	14	0	2	0
"ENSMUSG00000004768"	19	393	2	297	368	445
"ENSMUSG00000042215"	55	1	131	49	179	64
"ENSMUSG00000042197"	45	34	13	273	499	622
"ENSMUSG00000081402"	2	0	4	0	1	3
"ENSMUSG00000042182"	6	0	0	0	24	68
"ENSMUSG00000104416"	0	0	0	0	0	30
"ENSMUSG00000026131"	320	1104	13	2133	1621	3702
"ENSMUSG00000103596"	3	0	0	2	17	0
"ENSMUSG00000103364"	0	16	0	17	0	0
"ENSMUSG00000105982"	0	3	0	2	0	1
"ENSMUSG00000102336"	17	0	0	10	1	119
"ENSMUSG00000042111"	22	469	166	244	0	206
"ENSMUSG00000026127"	55	39	19	270	172	267
"ENSMUSG00000026126"	4	1	126	15	4	0
"ENSMUSG00000101803"	0	0	4	0	0	0
"ENSMUSG00000037509"	0	141	0	0	0	3
"ENSMUSG00000037503"	71	420	299	555	299	516
"ENSMUSG00000026123"	58	1	0	223	376	428
"ENSMUSG00000103760"	0	0	2	0	0	0
"ENSMUSG00000045216"	6	82	0	75	0	3
"ENSMUSG00000102202"	3	0	0	12	0	0
"ENSMUSG00000037470"	68	32	249	209	461	233
"ENSMUSG00000047180"	0	0	0	141	0	0
"ENSMUSG00000037447"	156	722	203	849	1167	1197
"ENSMUSG00000102762"	0	0	32	0	0	17
"ENSMUSG00000010453"	61	506	201	582	400	653
"ENSMUSG00000037432"	5	0	16	0	1	0
"ENSMUSG00000001143"	48	255	13	85	35	236
"ENSMUSG00000037408"	35	488	108	139	102	227
"ENSMUSG00000001138"	19	1	183	0	563	127
"ENSMUSG00000067653"	0	14	0	0	0	0
"ENSMUSG00000079610"	1	119	1	27	42	53
"ENSMUSG00000026121"	20	234	0	13	3	65
"ENSMUSG00000087589"	0	0	0	0	0	19
"ENSMUSG00000046337"	0	0	0	0	0	39
"ENSMUSG00000089906"	0	2	0	2	2	3
"ENSMUSG00000061518"	38	154	69	150	65	152
"ENSMUSG00000037351"	33	224	63	462	66	654
"ENSMUSG00000026116"	4	373	5	103	329	479
"ENSMUSG00000102930"	2	5	0	6	1	4
"ENSMUSG00000080054"	0	0	7	1	1	0
"ENSMUSG00000050122"	8	0	0	132	0	0
"ENSMUSG00000026113"	33	209	372	89	1052	79
"ENSMUSG00000086064"	4	0	1	0	0	0
"ENSMUSG00000026112"	66	499	6	704	419	260
"ENSMUSG00000026111"	73	150	87	379	0	415
"ENSMUSG00000026110"	54	220	7	310	316	127
"ENSMUSG00000026090"	0	0	0	0	0	118
"ENSMUSG00000060771"	2	216	0	169	0	1
"ENSMUSG00000026088"	18	27	6	3	320	156
"ENSMUSG00000026087"	25	273	190	224	136	310
"ENSMUSG00000058407"	80	324	3	105	619	365
"ENSMUSG00000026083"	177	1006	144	408	1070	948
"ENSMUSG00000026082"	7	85	5	113	424	111
"ENSMUSG00000103804"	0	2	0	0	0	0
"ENSMUSG00000037138"	50	563	181	51	171	25
"ENSMUSG00000087131"	0	0	56	0	58	36
"ENSMUSG00000026080"	1	200	3	1	331	1
"ENSMUSG00000026078"	48	619	134	150	98	197
"ENSMUSG00000103046"	0	0	0	21	0	0
"ENSMUSG00000026077"	4	81	0	11	0	46
"ENSMUSG00000092563"	0	1	44	17	48	0
"ENSMUSG00000073702"	47	118	84	110	70	160
"ENSMUSG00000003134"	9	10	345	59	360	9
"ENSMUSG00000003135"	2	412	5	0	1	14
"ENSMUSG00000085894"	0	0	0	0	0	4
"ENSMUSG00000048234"	6	1	138	34	16	51
"ENSMUSG00000101634"	0	3	0	0	0	0
"ENSMUSG00000026074"	55	563	52	381	74	308
"ENSMUSG00000026073"	0	1	271	200	0	4
"ENSMUSG00000097899"	0	0	0	11	0	7
"ENSMUSG00000102975"	0	0	0	80	0	0
"ENSMUSG00000026072"	39	665	0	594	14	666
"ENSMUSG00000103560"	0	56	0	9	0	0
"ENSMUSG00000070942"	0	79	0	169	0	115
"ENSMUSG00000026069"	42	2	0	114	0	115
"ENSMUSG00000026068"	0	0	0	110	0	0
"ENSMUSG00000026062"	0	14	0	0	0	0
"ENSMUSG00000103270"	0	0	0	6	0	0
"ENSMUSG00000041945"	6	44	1	11	0	0
"ENSMUSG00000079588"	0	0	2	0	0	12
"ENSMUSG00000100178"	0	0	2	0	0	0
"ENSMUSG00000045515"	0	0	2	0	0	0
"ENSMUSG00000060679"	33	156	11	202	0	6
"ENSMUSG00000041907"	0	2	0	0	0	0
"ENSMUSG00000070939"	1	81	20	2	328	184
"ENSMUSG00000010290"	7	0	4	226	0	294
"ENSMUSG00000008136"	128	1605	1	486	156	1100
"ENSMUSG00000101923"	0	0	2	0	0	0
"ENSMUSG00000103422"	0	26	0	0	0	0
"ENSMUSG00000103945"	0	3	0	0	0	1
"ENSMUSG00000026051"	907	4099	142	2062	2315	3360
"ENSMUSG00000100764"	0	0	0	0	0	4
"ENSMUSG00000100635"	0	0	0	12	0	16
"ENSMUSG00000057363"	139	261	13	411	345	405
"ENSMUSG00000090243"	0	3	214	0	0	0
"ENSMUSG00000100701"	0	0	46	2	1	1
"ENSMUSG00000041763"	170	804	171	492	567	446
"ENSMUSG00000091844"	0	0	0	0	0	222
"ENSMUSG00000026049"	8	88	117	27	71	70
"ENSMUSG00000026047"	35	221	232	175	128	408
"ENSMUSG00000041684"	0	0	82	0	0	84
"ENSMUSG00000026048"	3	547	40	100	0	461
"ENSMUSG00000056870"	6	48	11	63	0	254
"ENSMUSG00000089877"	0	0	0	0	0	4
"ENSMUSG00000103071"	0	0	1	0	0	1
"ENSMUSG00000100013"	0	0	2	0	0	0
"ENSMUSG00000026043"	454	3210	346	5546	3981	6272
"ENSMUSG00000026042"	1100	3313	3	3921	9869	4957
"ENSMUSG00000104476"	0	396	0	0	172	124
"ENSMUSG00000025995"	83	278	74	299	0	159
"ENSMUSG00000084817"	0	10	44	9	4	5
"ENSMUSG00000098549"	0	0	8	0	0	0
"ENSMUSG00000025993"	14	1261	174	563	500	1115
"ENSMUSG00000041144"	0	0	0	10	0	33
"ENSMUSG00000101262"	1	2	99	0	2	2
"ENSMUSG00000101337"	0	12	0	0	0	0
"ENSMUSG00000025986"	33	210	88	115	290	28
"ENSMUSG00000081185"	0	1	5	1	0	0
"ENSMUSG00000100033"	0	0	124	0	0	1
"ENSMUSG00000099627"	0	0	2	0	0	0
"ENSMUSG00000099608"	0	0	0	0	33	1
"ENSMUSG00000026109"	44	132	157	78	0	200
"ENSMUSG00000045954"	30	0	0	236	128	521
"ENSMUSG00000099741"	0	0	15	0	0	0
"ENSMUSG00000026107"	5	1	12	76	0	176
"ENSMUSG00000018417"	168	419	24	556	978	868
"ENSMUSG00000072324"	0	2	207	0	0	0
"ENSMUSG00000062939"	0	1	245	0	0	0
"ENSMUSG00000078291"	0	0	7	0	0	0
"ENSMUSG00000026104"	13	14	90	47	8	162
"ENSMUSG00000099569"	0	0	0	2	0	0
"ENSMUSG00000026103"	82	367	238	363	0	441
"ENSMUSG00000002881"	7	361	29	193	396	61
"ENSMUSG00000097833"	0	0	3	0	0	0
"ENSMUSG00000099878"	30	0	0	0	0	0
"ENSMUSG00000100007"	0	16	55	4	1	9
"ENSMUSG00000043015"	0	134	0	35	9	12
"ENSMUSG00000041439"	16	3	0	51	319	8
"ENSMUSG00000026102"	34	126	0	269	77	213
"ENSMUSG00000041426"	10	2	23	1	263	147
"ENSMUSG00000043629"	0	0	0	22	0	4
"ENSMUSG00000026098"	74	8	11	68	0	80
"ENSMUSG00000026097"	1	28	199	84	0	213
"ENSMUSG00000026096"	6	48	0	1	0	50
"ENSMUSG00000026095"	3	1	0	11	12	4
"ENSMUSG00000096141"	8	0	0	78	0	0
"ENSMUSG00000026094"	28	1658	673	426	206	331
"ENSMUSG00000042807"	0	2	0	5	0	0
"ENSMUSG00000025983"	0	0	10	17	0	3
"ENSMUSG00000041303"	6	6	21	173	105	130
"ENSMUSG00000073678"	0	12	0	0	0	80
"ENSMUSG00000052331"	46	393	156	314	212	164
"ENSMUSG00000101674"	0	0	0	10	0	0
"ENSMUSG00000102503"	0	105	0	9	0	0
"ENSMUSG00000025982"	479	3282	3512	2240	1876	3502
"ENSMUSG00000103030"	0	0	0	47	0	0
"ENSMUSG00000025981"	38	496	91	517	373	413
"ENSMUSG00000101122"	4	75	0	58	0	35
"ENSMUSG00000025980"	371	1492	1165	1140	1856	1580
"ENSMUSG00000073676"	97	135	222	249	178	278
"ENSMUSG00000089670"	0	0	3	0	0	0
"ENSMUSG00000025979"	65	136	336	560	161	335
"ENSMUSG00000025978"	68	476	0	179	464	562
"ENSMUSG00000097649"	2	1	0	14	13	24
"ENSMUSG00000046994"	0	103	0	0	1	100
"ENSMUSG00000100215"	1	7	89	3	1	1
"ENSMUSG00000101945"	0	0	76	0	0	0
"ENSMUSG00000038349"	0	0	0	6	14	13
"ENSMUSG00000102145"	0	6	1	1	2	1
"ENSMUSG00000038331"	34	776	121	573	477	845
"ENSMUSG00000087022"	0	64	0	24	0	48
"ENSMUSG00000104310"	0	21	0	6	0	0
"ENSMUSG00000101129"	0	0	9	0	0	0
"ENSMUSG00000097519"	0	0	0	0	2	0
"ENSMUSG00000038323"	0	543	45	0	1	165
"ENSMUSG00000048495"	2	0	0	126	0	89
"ENSMUSG00000025971"	14	44	114	77	0	142
"ENSMUSG00000038305"	10	79	182	198	7	256
"ENSMUSG00000054770"	27	15	37	9	0	171
"ENSMUSG00000026039"	2	0	45	22	111	2
"ENSMUSG00000063558"	9	73	0	0	0	5
"ENSMUSG00000103839"	0	0	0	3	0	0
"ENSMUSG00000051223"	389	1825	1502	1578	4111	2313
"ENSMUSG00000026034"	299	3418	443	1564	1183	2019
"ENSMUSG00000026035"	12	66	189	50	160	3
"ENSMUSG00000026036"	35	154	50	353	50	160
"ENSMUSG00000026037"	59	242	0	84	314	159
"ENSMUSG00000085054"	0	23	0	0	0	10
"ENSMUSG00000038174"	25	123	1	170	84	107
"ENSMUSG00000026032"	16	68	13	50	97	103
"ENSMUSG00000102059"	3	4	0	0	0	0
"ENSMUSG00000026031"	58	307	71	305	607	427
"ENSMUSG00000026029"	34	193	0	424	35	138
"ENSMUSG00000102719"	0	0	0	26	52	1
"ENSMUSG00000099719"	9	0	0	0	0	0
"ENSMUSG00000026028"	85	372	975	231	311	541
"ENSMUSG00000026027"	24	15	190	11	163	53
"ENSMUSG00000038079"	23	115	30	45	361	257
"ENSMUSG00000079550"	4	0	0	0	0	0
"ENSMUSG00000026024"	3	98	229	70	0	0
"ENSMUSG00000041075"	10	146	5	115	0	28
"ENSMUSG00000047361"	48	0	0	20	44	98
"ENSMUSG00000026021"	158	537	629	404	109	492
"ENSMUSG00000103821"	0	0	0	0	0	4
"ENSMUSG00000026020"	346	813	1524	888	792	1427
"ENSMUSG00000077345"	0	25	0	0	0	0
"ENSMUSG00000089512"	0	0	0	4	0	0
"ENSMUSG00000067336"	11	916	15	206	283	256
"ENSMUSG00000104052"	0	20	0	0	0	1
"ENSMUSG00000103131"	0	1	85	0	0	0
"ENSMUSG00000041040"	16	242	0	50	0	152
"ENSMUSG00000103696"	0	259	57	8	0	1
"ENSMUSG00000100901"	0	19	0	0	0	19
"ENSMUSG00000026018"	0	0	2	0	0	1
"ENSMUSG00000026019"	20	142	46	338	0	146
"ENSMUSG00000026017"	0	191	0	12	49	200
"ENSMUSG00000082609"	0	0	6	0	0	0
"ENSMUSG00000073664"	108	323	10	291	51	481
"ENSMUSG00000049439"	147	230	208	535	743	728
"ENSMUSG00000103822"	11	0	0	0	0	24
"ENSMUSG00000026782"	117	329	87	459	20	952
"ENSMUSG00000026014"	233	785	0	764	935	1239
"ENSMUSG00000081562"	0	22	3	7	0	6
"ENSMUSG00000101188"	53	375	1868	266	206	425
"ENSMUSG00000026012"	14	0	0	7	0	44
"ENSMUSG00000085965"	2	0	0	0	5	0
"ENSMUSG00000083355"	0	0	2	0	0	0
"ENSMUSG00000081382"	2	9	31	7	4	6
"ENSMUSG00000082804"	0	0	13	0	0	0
"ENSMUSG00000100965"	0	0	0	0	48	0
"ENSMUSG00000052062"	39	203	0	23	0	15
"ENSMUSG00000104402"	0	0	0	0	0	4
"ENSMUSG00000085842"	10	0	0	2	0	0
"ENSMUSG00000100344"	6	0	0	0	0	0
"ENSMUSG00000100750"	0	0	0	1	1	0
"ENSMUSG00000084333"	0	4	24	0	1	1
"ENSMUSG00000025969"	246	3930	1	1512	2365	3259
"ENSMUSG00000100811"	0	5	0	41	0	0
"ENSMUSG00000103032"	0	14	0	0	0	44
"ENSMUSG00000040865"	73	178	205	149	606	404
"ENSMUSG00000081429"	0	18	0	11	0	0
"ENSMUSG00000084799"	16	29	31	5	86	34
"ENSMUSG00000101599"	23	110	33	49	55	16
"ENSMUSG00000025968"	108	352	183	349	391	521
"ENSMUSG00000025967"	119	644	314	444	512	368
"ENSMUSG00000064612"	0	2	0	0	0	1
"ENSMUSG00000064602"	0	7	0	1	0	12
"ENSMUSG00000046856"	0	0	0	5	0	81
"ENSMUSG00000027520"	0	0	0	0	0	49
"ENSMUSG00000081643"	0	0	58	1	0	7
"ENSMUSG00000025964"	0	56	0	0	1	93
"ENSMUSG00000025962"	45	505	4	428	0	139
"ENSMUSG00000025959"	21	324	94	295	383	216
"ENSMUSG00000086836"	0	0	0	4	0	0
"ENSMUSG00000086721"	0	0	26	0	1	0
"ENSMUSG00000025958"	85	364	261	661	598	584
"ENSMUSG00000025956"	63	152	0	14	1	147
"ENSMUSG00000087213"	7	0	0	0	0	1
"ENSMUSG00000070871"	1	1	0	33	0	54
"ENSMUSG00000045005"	1	88	0	70	14	100
"ENSMUSG00000102140"	0	5	0	0	4	43
"ENSMUSG00000051344"	20	257	20	254	109	409
"ENSMUSG00000084416"	13	49	30	56	48	97
"ENSMUSG00000025950"	44	743	58	730	226	701
"ENSMUSG00000025949"	0	15	1	103	51	284
"ENSMUSG00000025946"	0	0	0	0	0	2
"ENSMUSG00000083289"	0	0	2	0	0	0
"ENSMUSG00000015222"	0	0	3	47	0	297
"ENSMUSG00000055567"	0	0	0	0	0	33
"ENSMUSG00000026005"	70	338	350	405	1033	442
"ENSMUSG00000026004"	40	141	27	96	0	212
"ENSMUSG00000102559"	0	0	0	42	0	0
"ENSMUSG00000102374"	0	0	0	20	0	0
"ENSMUSG00000102776"	0	9	1	25	0	4
"ENSMUSG00000103706"	0	6	0	129	0	0
"ENSMUSG00000026003"	44	577	94	418	64	290
"ENSMUSG00000082769"	1	1	7	0	0	0
"ENSMUSG00000061816"	0	0	0	20	0	15
"ENSMUSG00000026000"	35	399	6	223	155	366
"ENSMUSG00000062209"	0	0	0	5	0	0
"ENSMUSG00000084332"	0	0	2	0	0	0
"ENSMUSG00000025997"	3	6	0	39	0	130
"ENSMUSG00000053153"	2	0	0	5	0	0
"ENSMUSG00000026196"	26	0	29	0	0	22
"ENSMUSG00000026192"	35	57	332	148	210	295
"ENSMUSG00000026193"	13805	54928	4352	81579	258115	87121
"ENSMUSG00000101834"	0	1	8	0	0	0
"ENSMUSG00000100319"	0	1	140	0	1	1
"ENSMUSG00000059483"	0	0	13	0	0	1
"ENSMUSG00000101496"	0	3	10	0	0	0
"ENSMUSG00000039395"	0	0	0	0	0	24
"ENSMUSG00000094655"	0	36	0	0	1	9
"ENSMUSG00000093956"	0	0	0	5	0	0
"ENSMUSG00000093843"	0	0	4	0	6	0
"ENSMUSG00000026189"	8	95	0	24	154	88
"ENSMUSG00000026188"	4	0	0	0	0	0
"ENSMUSG00000026187"	78	359	171	176	32	181
"ENSMUSG00000039354"	5	213	0	130	368	143
"ENSMUSG00000046330"	31	224	76	111	87	172
"ENSMUSG00000039323"	0	0	8	0	0	3
"ENSMUSG00000026185"	730	14930	232	10917	3421	11948
"ENSMUSG00000100697"	0	0	8	0	0	0
"ENSMUSG00000055322"	41	544	142	575	1095	554
"ENSMUSG00000061815"	8	0	0	0	0	17
"ENSMUSG00000026180"	1	0	0	214	366	1
"ENSMUSG00000006304"	305	1354	1643	1524	2198	2291
"ENSMUSG00000006299"	108	961	410	579	377	1177
"ENSMUSG00000026179"	27	117	39	159	135	159
"ENSMUSG00000103013"	0	2	0	8	0	0
"ENSMUSG00000006301"	297	1011	121	1308	1529	2146
"ENSMUSG00000103403"	0	0	0	0	0	3
"ENSMUSG00000073650"	10	0	0	65	0	0
"ENSMUSG00000026177"	0	37	189	64	0	0
"ENSMUSG00000026176"	22	55	3	193	39	309
"ENSMUSG00000065468"	0	0	0	0	0	5
"ENSMUSG00000026175"	0	0	0	0	0	64
"ENSMUSG00000033364"	37	337	503	478	70	230
"ENSMUSG00000103227"	0	2	16	0	0	0
"ENSMUSG00000026174"	52	82	659	166	118	110
"ENSMUSG00000026173"	20	0	0	2	0	0
"ENSMUSG00000026135"	0	11	429	146	0	118
"ENSMUSG00000026172"	4	307	196	98	0	51
"ENSMUSG00000026171"	21	124	57	90	165	103
"ENSMUSG00000033276"	3	0	3	1	0	0
"ENSMUSG00000033257"	16	1	0	26	0	48
"ENSMUSG00000026170"	0	0	0	0	0	52
"ENSMUSG00000033227"	1	0	0	0	0	13
"ENSMUSG00000047021"	7	0	0	7	0	0
"ENSMUSG00000006538"	0	0	0	40	124	1
"ENSMUSG00000026162"	11	3	0	1	13	0
"ENSMUSG00000033159"	108	328	126	392	27	351
"ENSMUSG00000049339"	19	440	255	24	26	199
"ENSMUSG00000026197"	10	158	0	159	107	187
"ENSMUSG00000033124"	0	8	442	165	226	113
"ENSMUSG00000026199"	30	228	0	270	1	237
"ENSMUSG00000026200"	16	198	0	74	2	70
"ENSMUSG00000026201"	20	310	332	244	0	628
"ENSMUSG00000026202"	43	160	737	309	1391	231
"ENSMUSG00000026203"	14	97	245	235	392	454
"ENSMUSG00000026209"	24	413	19	119	621	420
"ENSMUSG00000026208"	6	31	1	172	0	291
"ENSMUSG00000026207"	3	195	0	156	0	177
"ENSMUSG00000033021"	103	432	52	302	496	202
"ENSMUSG00000032997"	79	631	0	731	242	443
"ENSMUSG00000026211"	45	132	14	369	46	102
"ENSMUSG00000051703"	0	0	22	6	0	0
"ENSMUSG00000032968"	0	40	0	0	0	1
"ENSMUSG00000026213"	6	0	0	145	376	70
"ENSMUSG00000006576"	28	111	26	102	37	125
"ENSMUSG00000026235"	1	0	11	5	150	118
"ENSMUSG00000004872"	0	0	0	0	0	2
"ENSMUSG00000026245"	117	954	318	214	352	350
"ENSMUSG00000104018"	0	83	0	1	189	8
"ENSMUSG00000032883"	33	314	618	196	181	107
"ENSMUSG00000079470"	0	225	150	44	0	0
"ENSMUSG00000099377"	3	5	120	1	0	1
"ENSMUSG00000047330"	1	180	0	197	1	0
"ENSMUSG00000072978"	0	0	1	2	4	3
"ENSMUSG00000054702"	0	0	6	4	0	0
"ENSMUSG00000102235"	0	0	0	26	0	0
"ENSMUSG00000073643"	9	272	5	93	0	178
"ENSMUSG00000026248"	1	104	0	107	105	89
"ENSMUSG00000026249"	4633	57605	536	30066	16475	64249
"ENSMUSG00000067106"	0	1	25	2	3	0
"ENSMUSG00000004364"	31	609	139	89	37	203
"ENSMUSG00000038608"	3	74	97	29	199	29
"ENSMUSG00000103192"	0	1	7	0	0	0
"ENSMUSG00000099949"	0	0	3	0	0	0
"ENSMUSG00000087008"	0	0	0	4	1	0
"ENSMUSG00000100561"	0	0	72	0	0	0
"ENSMUSG00000055980"	20	445	0	85	441	223
"ENSMUSG00000026142"	8	274	5	0	0	67
"ENSMUSG00000067158"	30	0	0	0	0	0
"ENSMUSG00000079465"	0	49	0	47	0	23
"ENSMUSG00000026150"	180	602	115	297	159	336
"ENSMUSG00000026159"	4	0	0	3	0	110
"ENSMUSG00000100432"	0	0	131	0	0	0
"ENSMUSG00000101173"	0	0	15	0	0	0
"ENSMUSG00000053161"	17	0	0	0	0	0
"ENSMUSG00000101896"	0	0	2	0	0	0
"ENSMUSG00000079140"	0	0	6	0	0	0
"ENSMUSG00000045658"	593	1482	0	1662	1306	1787
"ENSMUSG00000101934"	6	0	0	0	0	0
"ENSMUSG00000026219"	101	192	1004	697	1369	1251
"ENSMUSG00000103505"	0	0	0	0	0	13
"ENSMUSG00000073633"	6	0	0	6	0	104
"ENSMUSG00000026220"	0	0	12	0	0	0
"ENSMUSG00000052477"	0	0	18	0	0	1
"ENSMUSG00000064281"	1	8	71	19	20	26
"ENSMUSG00000061852"	0	0	0	3	0	0
"ENSMUSG00000101279"	0	0	0	17	0	0
"ENSMUSG00000089844"	0	0	43	8	0	1
"ENSMUSG00000072109"	0	1	32	3	0	8
"ENSMUSG00000091199"	0	0	0	4	0	0
