"263_S5"	"265_S6"	"268_S4"	"276_S2"	"277_S3"	"287_S1"
"ENSMUSG00000029119"	30	418	0	501	8	885
"ENSMUSG00000029120"	0	0	64	0	0	18
"ENSMUSG00000039474"	39	47	0	378	0	172
"ENSMUSG00000029122"	6	502	0	110	137	514
"ENSMUSG00000050248"	42	226	88	212	33	656
"ENSMUSG00000029123"	67	144	0	401	604	854
"ENSMUSG00000062329"	11558	26371	2586	29684	58783	47493
"ENSMUSG00000048450"	37	8	0	120	323	125
"ENSMUSG00000029125"	16	178	150	99	142	101
"ENSMUSG00000029126"	19	504	68	27	109	256
"ENSMUSG00000029127"	1	123	0	188	0	157
"ENSMUSG00000067367"	63	137	129	227	64	207
"ENSMUSG00000067365"	6	75	0	65	1	53
"ENSMUSG00000005107"	0	38	0	0	0	0
"ENSMUSG00000089646"	0	5	232	0	1	0
"ENSMUSG00000005103"	309	1872	507	2593	1828	3021
"ENSMUSG00000046572"	14	0	0	0	0	133
"ENSMUSG00000107134"	2	0	0	0	17	45
"ENSMUSG00000051022"	148	200	0	735	1417	276
"ENSMUSG00000083261"	2	15	159	10	30	10
"ENSMUSG00000082938"	2	6	10	3	0	0
"ENSMUSG00000106895"	4	3	8	12	15	8
"ENSMUSG00000029128"	38	561	52	251	311	204
"ENSMUSG00000049691"	5	0	0	42	109	132
"ENSMUSG00000061755"	29	314	236	213	421	358
"ENSMUSG00000107259"	0	0	5	0	0	0
"ENSMUSG00000106884"	0	0	4	0	0	0
"ENSMUSG00000106813"	0	0	0	1	2	0
"ENSMUSG00000039782"	0	58	49	14	0	0
"ENSMUSG00000105326"	0	0	0	14	0	0
"ENSMUSG00000061535"	0	4	0	35	1	250
"ENSMUSG00000039765"	6	290	135	97	45	255
"ENSMUSG00000039753"	121	1255	594	770	517	874
"ENSMUSG00000104728"	0	0	0	7	0	0
"ENSMUSG00000106609"	0	0	67	18	0	0
"ENSMUSG00000029082"	21	0	0	1	0	0
"ENSMUSG00000029084"	0	0	30	120	0	27
"ENSMUSG00000033036"	0	0	4	0	0	0
"ENSMUSG00000059565"	0	0	2	0	0	0
"ENSMUSG00000029086"	0	1	1	221	2	1
"ENSMUSG00000105264"	0	0	1	5	0	1
"ENSMUSG00000072962"	0	0	0	7	0	0
"ENSMUSG00000046985"	44	0	18	11	0	122
"ENSMUSG00000105519"	1	0	0	0	0	30
"ENSMUSG00000105503"	0	0	0	0	0	10
"ENSMUSG00000104784"	0	0	2	0	0	0
"ENSMUSG00000104923"	0	2	18	0	5	0
"ENSMUSG00000039706"	0	0	0	0	206	1
"ENSMUSG00000104894"	7	0	0	0	0	0
"ENSMUSG00000105224"	0	0	0	0	0	7
"ENSMUSG00000104851"	9	80	0	2	0	29
"ENSMUSG00000015806"	47	132	14	140	148	203
"ENSMUSG00000039682"	50	231	125	234	125	444
"ENSMUSG00000015804"	90	461	185	334	582	774
"ENSMUSG00000015879"	8	0	0	0	0	0
"ENSMUSG00000105745"	6	0	0	0	0	0
"ENSMUSG00000015880"	80	173	382	186	1	43
"ENSMUSG00000015882"	58	118	7	155	0	89
"ENSMUSG00000104342"	0	0	0	0	0	33
"ENSMUSG00000104852"	0	0	0	28	0	0
"ENSMUSG00000105457"	0	35	0	0	0	0
"ENSMUSG00000105459"	0	0	0	2	0	0
"ENSMUSG00000067321"	1	1	20	0	1	1
"ENSMUSG00000031558"	121	1257	82	953	966	1579
"ENSMUSG00000092309"	0	13	0	48	0	56
"ENSMUSG00000092559"	0	0	0	0	50	0
"ENSMUSG00000106214"	8	219	0	2	0	8
"ENSMUSG00000105184"	0	224	0	0	0	0
"ENSMUSG00000065603"	0	13	0	0	0	22
"ENSMUSG00000106604"	0	0	0	2	0	1
"ENSMUSG00000029089"	1	239	0	44	149	132
"ENSMUSG00000029088"	0	0	3	0	20	0
"ENSMUSG00000105974"	0	0	0	5	0	0
"ENSMUSG00000105922"	2	0	0	0	0	0
"ENSMUSG00000106539"	0	4	0	2	2	0
"ENSMUSG00000105771"	0	32	0	0	0	0
"ENSMUSG00000083477"	4	1	24	4	4	9
"ENSMUSG00000105540"	0	0	3	0	0	0
"ENSMUSG00000029090"	15	191	0	186	0	196
"ENSMUSG00000106267"	0	0	3	0	0	0
"ENSMUSG00000106648"	0	0	0	0	0	25
"ENSMUSG00000029169"	65	939	1527	926	786	844
"ENSMUSG00000106607"	0	0	0	7	0	0
"ENSMUSG00000097145"	0	6	0	0	357	59
"ENSMUSG00000106464"	0	0	0	0	0	4
"ENSMUSG00000072941"	1664	4350	460	5291	12323	7973
"ENSMUSG00000045790"	0	0	1	18	0	0
"ENSMUSG00000039252"	0	0	0	0	0	45
"ENSMUSG00000029173"	5	37	0	170	30	16
"ENSMUSG00000029186"	45	2	357	152	275	203
"ENSMUSG00000029179"	0	183	242	166	229	172
"ENSMUSG00000029176"	153	722	275	469	57	445
"ENSMUSG00000029188"	1	1	0	0	0	0
"ENSMUSG00000061461"	21	23	1	120	20	342
"ENSMUSG00000106981"	0	39	0	0	0	0
"ENSMUSG00000077696"	0	0	0	3	0	0
"ENSMUSG00000106808"	0	0	0	20	0	3
"ENSMUSG00000039191"	96	241	32	476	329	749
"ENSMUSG00000106807"	1	0	0	1	0	0
"ENSMUSG00000039178"	50	206	0	299	44	359
"ENSMUSG00000039156"	6	262	1	3	102	122
"ENSMUSG00000105551"	0	0	4	0	0	0
"ENSMUSG00000083902"	0	4	30	1	0	5
"ENSMUSG00000104560"	0	0	11	0	0	0
"ENSMUSG00000097216"	2	6	2	20	0	0
"ENSMUSG00000051116"	4	24	5	2	5	11
"ENSMUSG00000029108"	14	225	178	151	422	148
"ENSMUSG00000104821"	0	27	0	0	0	0
"ENSMUSG00000105637"	0	219	0	0	190	0
"ENSMUSG00000105050"	0	0	0	0	0	35
"ENSMUSG00000105877"	0	35	0	2	0	43
"ENSMUSG00000106337"	0	0	0	0	0	65
"ENSMUSG00000104871"	0	5	0	137	0	17
"ENSMUSG00000103959"	0	0	0	15	0	9
"ENSMUSG00000106646"	0	0	0	0	0	2
"ENSMUSG00000087034"	0	0	0	2	0	1
"ENSMUSG00000104775"	0	0	5	0	0	0
"ENSMUSG00000089992"	0	0	2	1	1	0
"ENSMUSG00000106530"	0	0	25	0	0	0
"ENSMUSG00000037999"	0	0	22	12	1	479
"ENSMUSG00000090326"	0	0	0	36	0	0
"ENSMUSG00000090138"	0	0	7	0	0	0
"ENSMUSG00000060512"	0	0	0	43	0	0
"ENSMUSG00000047881"	5	10	2	42	0	273
"ENSMUSG00000029171"	32	130	0	143	116	49
"ENSMUSG00000029174"	46	118	0	98	0	205
"ENSMUSG00000083435"	0	0	10	1	0	0
"ENSMUSG00000083100"	0	0	5	0	0	0
"ENSMUSG00000104806"	0	2	0	0	0	0
"ENSMUSG00000105402"	0	0	0	0	0	11
"ENSMUSG00000029178"	115	481	6	193	132	425
"ENSMUSG00000106205"	4	33	7	0	0	11
"ENSMUSG00000051498"	0	0	0	7	0	0
"ENSMUSG00000029185"	137	932	110	595	463	1515
"ENSMUSG00000037913"	0	0	0	36	0	0
"ENSMUSG00000054920"	2	290	0	169	215	72
"ENSMUSG00000037890"	13	1	0	69	1	433
"ENSMUSG00000029191"	97	572	83	577	688	539
"ENSMUSG00000105935"	0	82	60	2	0	10
"ENSMUSG00000047215"	207	536	247	482	432	493
"ENSMUSG00000029199"	21	220	166	139	0	477
"ENSMUSG00000106291"	0	0	0	42	0	0
"ENSMUSG00000029201"	350	2996	279	1383	3575	2098
"ENSMUSG00000104917"	0	6	0	2	0	12
"ENSMUSG00000037822"	136	1060	533	585	823	741
"ENSMUSG00000105601"	1	1	0	0	1	0
"ENSMUSG00000029203"	56	176	374	407	177	385
"ENSMUSG00000107362"	9	63	95	74	162	20
"ENSMUSG00000107102"	0	1	1	0	0	28
"ENSMUSG00000029202"	39	308	245	358	282	253
"ENSMUSG00000106767"	0	1	0	64	1	0
"ENSMUSG00000107158"	12	0	0	0	0	0
"ENSMUSG00000037795"	24	208	0	233	265	5
"ENSMUSG00000029204"	0	2	266	90	0	0
"ENSMUSG00000070780"	0	45	258	96	1	2
"ENSMUSG00000107304"	0	0	0	0	0	11
"ENSMUSG00000029206"	0	0	0	23	0	14
"ENSMUSG00000029207"	60	733	0	390	715	897
"ENSMUSG00000107155"	0	81	0	28	0	0
"ENSMUSG00000106910"	0	0	0	0	0	3
"ENSMUSG00000106732"	4	0	0	0	0	0
"ENSMUSG00000107091"	0	1	0	0	1	1
"ENSMUSG00000106706"	12	14	0	41	4	15
"ENSMUSG00000029223"	9	0	77	19	86	11
"ENSMUSG00000037736"	97	4167	36	756	1070	2329
"ENSMUSG00000082420"	10	2	14	11	0	16
"ENSMUSG00000106749"	0	0	0	0	72	2
"ENSMUSG00000086964"	0	0	0	5	0	0
"ENSMUSG00000107319"	0	0	0	0	0	13
"ENSMUSG00000037720"	184	432	888	494	466	533
"ENSMUSG00000029221"	110	193	70	217	885	99
"ENSMUSG00000106925"	0	0	8	0	0	0
"ENSMUSG00000106947"	0	0	0	0	12	1
"ENSMUSG00000050010"	1	139	0	0	23	33
"ENSMUSG00000037685"	72	25	25	120	38	172
"ENSMUSG00000107041"	0	1	94	0	0	0
"ENSMUSG00000085363"	2	0	7	3	0	0
"ENSMUSG00000106859"	4	0	0	0	0	0
"ENSMUSG00000106837"	0	0	0	0	0	18
"ENSMUSG00000107136"	0	0	0	0	0	4
"ENSMUSG00000106897"	0	0	0	2	1	0
"ENSMUSG00000107234"	0	0	0	6	0	0
"ENSMUSG00000043484"	0	1	23	2	0	1
"ENSMUSG00000029208"	51	289	44	21	90	49
"ENSMUSG00000029209"	0	206	62	23	161	190
"ENSMUSG00000001260"	26	0	0	0	0	0
"ENSMUSG00000029211"	1	1	0	90	20	0
"ENSMUSG00000029212"	14	6	0	28	0	102
"ENSMUSG00000082705"	0	5	460	0	0	0
"ENSMUSG00000029213"	94	792	686	277	988	235
"ENSMUSG00000105016"	0	0	5	0	0	0
"ENSMUSG00000046808"	13	68	2	83	5	131
"ENSMUSG00000005220"	14	392	0	0	49	1
"ENSMUSG00000072889"	13	46	53	16	0	95
"ENSMUSG00000067220"	0	1	2	0	1	0
"ENSMUSG00000105124"	0	1	29	0	0	1
"ENSMUSG00000067219"	0	0	0	12	0	0
"ENSMUSG00000029217"	0	38	12	4	0	0
"ENSMUSG00000106739"	0	0	183	0	0	142
"ENSMUSG00000052154"	0	0	26	0	0	0
"ENSMUSG00000036087"	42	280	79	20	8	276
"ENSMUSG00000088268"	0	0	0	0	0	4
"ENSMUSG00000070733"	18	111	484	72	196	135
"ENSMUSG00000107171"	0	0	0	5	0	2
"ENSMUSG00000107109"	2	0	0	0	0	0
"ENSMUSG00000090561"	0	14	0	0	0	0
"ENSMUSG00000107087"	0	0	0	0	6	0
"ENSMUSG00000029152"	243	920	280	883	709	1095
"ENSMUSG00000107331"	0	9	0	4	52	0
"ENSMUSG00000029153"	0	75	10	42	0	0
"ENSMUSG00000082039"	0	0	14	0	0	0
"ENSMUSG00000051674"	0	121	76	76	218	97
"ENSMUSG00000029156"	27	311	0	39	907	721
"ENSMUSG00000106773"	0	25	0	0	0	0
"ENSMUSG00000029155"	8	0	0	0	1	0
"ENSMUSG00000054814"	34	210	6	113	467	179
"ENSMUSG00000106973"	0	0	0	0	0	2
"ENSMUSG00000106943"	7	39	0	25	112	0
"ENSMUSG00000049907"	0	0	0	0	0	39
"ENSMUSG00000062110"	14	0	0	41	0	119
"ENSMUSG00000029227"	138	845	338	552	117	675
"ENSMUSG00000029228"	27	0	0	68	0	5
"ENSMUSG00000106806"	0	0	6	0	0	0
"ENSMUSG00000107306"	0	0	1	0	0	64
"ENSMUSG00000029229"	13	315	397	76	0	55
"ENSMUSG00000107205"	0	0	0	31	0	59
"ENSMUSG00000029231"	27	920	0	365	2	1150
"ENSMUSG00000005672"	17	3	0	301	112	92
"ENSMUSG00000107020"	0	1	30	0	0	0
"ENSMUSG00000029233"	9	257	159	119	0	283
"ENSMUSG00000029234"	9	72	0	113	55	74
"ENSMUSG00000029238"	22	12	15	163	161	264
"ENSMUSG00000106831"	9	24	33	5	3	31
"ENSMUSG00000098449"	0	13	0	1	0	8
"ENSMUSG00000107160"	1	1	1	0	1	2
"ENSMUSG00000036435"	14	281	17	293	190	55
"ENSMUSG00000036403"	8	1	255	177	553	132
"ENSMUSG00000103529"	0	1	37	3	0	0
"ENSMUSG00000036377"	10	0	1	0	0	94
"ENSMUSG00000055923"	0	375	0	33	0	2
"ENSMUSG00000029246"	53	235	20	204	127	160
"ENSMUSG00000072852"	0	0	0	20	0	0
"ENSMUSG00000029247"	324	793	170	1352	1297	1224
"ENSMUSG00000036323"	58	485	638	277	697	221
"ENSMUSG00000106783"	0	0	0	0	0	23
"ENSMUSG00000053030"	4	5	0	0	0	21
"ENSMUSG00000029249"	93	538	18	94	184	731
"ENSMUSG00000036285"	8	71	8	139	0	104
"ENSMUSG00000029250"	124	509	141	357	1170	284
"ENSMUSG00000036256"	189	5046	1	344	277	361
"ENSMUSG00000106828"	0	17	0	0	0	25
"ENSMUSG00000044058"	0	1	0	0	1	0
"ENSMUSG00000083829"	0	1	9	1	0	2
"ENSMUSG00000037605"	0	15	0	0	184	118
"ENSMUSG00000106746"	0	0	0	0	1	31
"ENSMUSG00000106926"	3	11	85	0	1	3
"ENSMUSG00000106576"	0	0	2	0	0	0
"ENSMUSG00000079067"	0	0	11	4	1	1
"ENSMUSG00000029253"	30	510	45	59	75	191
"ENSMUSG00000029254"	15	0	0	20	0	0
"ENSMUSG00000035898"	0	30	46	7	40	109
"ENSMUSG00000035851"	12	117	299	29	66	200
"ENSMUSG00000104802"	0	1	271	2	2	5
"ENSMUSG00000104664"	0	0	13	0	0	0
"ENSMUSG00000105905"	0	0	7	0	0	0
"ENSMUSG00000106593"	0	0	1	0	6	0
"ENSMUSG00000029288"	0	0	8	0	0	0
"ENSMUSG00000067149"	0	2	309	0	0	0
"ENSMUSG00000070697"	11	257	300	303	48	228
"ENSMUSG00000029291"	1	0	34	121	0	140
"ENSMUSG00000044221"	35	513	25	0	2	81
"ENSMUSG00000006262"	7	56	176	172	0	6
"ENSMUSG00000029366"	85	83	543	490	0	209
"ENSMUSG00000082389"	0	1	3	0	0	0
"ENSMUSG00000060961"	0	0	1	10	1	87
"ENSMUSG00000043635"	34	0	0	4	0	49
"ENSMUSG00000043618"	2	3	21	3	1	4
"ENSMUSG00000035505"	10	107	0	33	150	169
"ENSMUSG00000055204"	121	951	600	316	585	746
"ENSMUSG00000054945"	0	0	0	14	0	0
"ENSMUSG00000070690"	0	0	0	0	0	3
"ENSMUSG00000029370"	3	0	0	89	0	5
"ENSMUSG00000029371"	3	1	0	22	0	13
"ENSMUSG00000029373"	0	0	0	0	0	51
"ENSMUSG00000029380"	37	623	183	524	609	329
"ENSMUSG00000088075"	0	0	0	2	0	13
"ENSMUSG00000058427"	72	158	769	412	333	77
"ENSMUSG00000029376"	0	55	0	10	0	0
"ENSMUSG00000082361"	0	0	0	0	0	9
"ENSMUSG00000034981"	3	1	3	0	0	60
"ENSMUSG00000106917"	1	6	333	0	2	3
"ENSMUSG00000096726"	0	0	13	0	0	0
"ENSMUSG00000029397"	63	512	92	350	206	446
"ENSMUSG00000102644"	32	24	3	10	277	6
"ENSMUSG00000096035"	21	0	0	0	0	36
"ENSMUSG00000029403"	21	18	0	5	333	33
"ENSMUSG00000029405"	170	382	301	332	721	962
"ENSMUSG00000088712"	0	0	0	0	0	11
"ENSMUSG00000029407"	129	294	129	177	0	223
"ENSMUSG00000084111"	5	18	20	22	19	25
"ENSMUSG00000029410"	0	0	0	3	0	0
"ENSMUSG00000029413"	9	388	144	70	183	58
"ENSMUSG00000029415"	80	58	207	283	362	429
"ENSMUSG00000106698"	0	0	0	0	0	2
"ENSMUSG00000029417"	6	82	0	152	0	8
"ENSMUSG00000034842"	0	0	0	49	0	108
"ENSMUSG00000034855"	14	72	101	96	0	217
"ENSMUSG00000034826"	20	218	68	209	167	6
"ENSMUSG00000029426"	55	259	12	439	275	947
"ENSMUSG00000047963"	0	0	1	0	0	232
"ENSMUSG00000050050"	0	0	0	29	0	0
"ENSMUSG00000029381"	1	84	0	13	4	73
"ENSMUSG00000089268"	0	0	0	0	0	12
"ENSMUSG00000106930"	3	8	10	3	3	3
"ENSMUSG00000107374"	0	0	0	0	0	34
"ENSMUSG00000107194"	0	0	0	0	0	5
"ENSMUSG00000058013"	140	2438	116	631	485	1064
"ENSMUSG00000107019"	0	77	0	38	0	0
"ENSMUSG00000063015"	24	279	130	218	65	235
"ENSMUSG00000106870"	0	0	0	0	0	19
"ENSMUSG00000029384"	4	0	0	0	0	0
"ENSMUSG00000029385"	0	173	0	146	0	151
"ENSMUSG00000107187"	0	0	0	0	0	6
"ENSMUSG00000096617"	2	3	3	7	5	2
"ENSMUSG00000023078"	1	209	0	34	0	0
"ENSMUSG00000107092"	0	2	1	2	0	0
"ENSMUSG00000034724"	46	738	58	109	358	198
"ENSMUSG00000029486"	12	131	24	50	0	134
"ENSMUSG00000029484"	159	131	196	741	803	606
"ENSMUSG00000034663"	12	268	0	23	0	67
"ENSMUSG00000055725"	0	3	0	84	0	0
"ENSMUSG00000067161"	3	1	80	5	0	2
"ENSMUSG00000046000"	0	0	6	0	1	0
"ENSMUSG00000050553"	0	0	13	0	0	0
"ENSMUSG00000029338"	119	1166	0	517	777	1167
"ENSMUSG00000105801"	0	0	0	30	0	0
"ENSMUSG00000098073"	0	1	50	0	0	0
"ENSMUSG00000035456"	0	0	0	2	0	0
"ENSMUSG00000057816"	11	42	0	1	0	0
"ENSMUSG00000105814"	4	13	3	12	12	10
"ENSMUSG00000067101"	7	0	0	48	0	0
"ENSMUSG00000029335"	160	529	0	1284	1182	2341
"ENSMUSG00000029334"	52	459	0	252	55	688
"ENSMUSG00000089809"	0	0	9	0	0	0
"ENSMUSG00000105078"	0	0	0	10	0	0
"ENSMUSG00000000568"	5	75	55	136	10	102
"ENSMUSG00000091623"	0	0	7	0	0	0
"ENSMUSG00000029328"	150	1328	1570	741	1226	1028
"ENSMUSG00000029326"	0	140	2	116	30	32
"ENSMUSG00000089491"	0	0	2	0	0	0
"ENSMUSG00000035325"	255	1873	498	1296	2299	2173
"ENSMUSG00000097772"	8	7	1	1	0	2
"ENSMUSG00000106391"	0	32	0	0	0	0
"ENSMUSG00000035310"	0	36	122	0	0	110
"ENSMUSG00000105181"	0	0	1	0	0	1
"ENSMUSG00000035297"	174	991	540	281	1388	717
"ENSMUSG00000029322"	11	6	115	55	498	4
"ENSMUSG00000029319"	9	306	0	43	1	0
"ENSMUSG00000035273"	0	0	2	46	0	0
"ENSMUSG00000035266"	0	0	0	60	316	102
"ENSMUSG00000016833"	11	20	28	21	43	30
"ENSMUSG00000104761"	0	2	0	51	0	0
"ENSMUSG00000035234"	37	192	0	11	110	148
"ENSMUSG00000105607"	0	0	0	0	0	20
"ENSMUSG00000087611"	0	0	0	0	49	1
"ENSMUSG00000029314"	9	82	13	188	333	193
"ENSMUSG00000106178"	0	27	0	1	0	0
"ENSMUSG00000035187"	0	0	0	7	0	0
"ENSMUSG00000029330"	0	0	0	2	0	0
"ENSMUSG00000043940"	24	102	50	3	1	216
"ENSMUSG00000106586"	0	0	0	0	74	24
"ENSMUSG00000057315"	24	196	16	193	244	315
"ENSMUSG00000046709"	8	0	0	0	0	69
"ENSMUSG00000034573"	6	590	37	368	7	81
"ENSMUSG00000104580"	0	0	0	0	11	0
"ENSMUSG00000029321"	0	60	0	30	0	0
"ENSMUSG00000084126"	3	20	0	5	0	0
"ENSMUSG00000029313"	0	227	86	135	735	125
"ENSMUSG00000029312"	0	0	0	20	0	68
"ENSMUSG00000029311"	4	0	25	6	47	8
"ENSMUSG00000029310"	69	286	109	138	405	296
"ENSMUSG00000029309"	91	1124	2	179	37	738
"ENSMUSG00000029307"	910	2191	1	4793	2479	5972
"ENSMUSG00000029306"	3527	46972	276	19096	6311	37708
"ENSMUSG00000053863"	92	898	1	601	1926	1143
"ENSMUSG00000029304"	48543	253064	2019	164622	198094	602827
"ENSMUSG00000105954"	32	270	0	314	89	457
"ENSMUSG00000034462"	87	160	0	190	899	560
"ENSMUSG00000079065"	5	448	407	231	0	1
"ENSMUSG00000097392"	0	37	0	99	1	53
"ENSMUSG00000048334"	0	2	40	0	0	1
"ENSMUSG00000072774"	29	0	2	6	13	109
"ENSMUSG00000029299"	0	0	0	0	0	4
"ENSMUSG00000104899"	0	0	7	0	0	0
"ENSMUSG00000106392"	0	0	1	2	0	1
"ENSMUSG00000034438"	0	2	33	0	0	0
"ENSMUSG00000104713"	1	0	0	39	0	63
"ENSMUSG00000092021"	0	30	0	0	0	0
"ENSMUSG00000070639"	4	0	12	0	0	24
"ENSMUSG00000054720"	46	25	38	275	621	141
"ENSMUSG00000085771"	0	0	0	2	0	34
"ENSMUSG00000046079"	66	4	404	235	468	477
"ENSMUSG00000067058"	19	70	30	65	79	66
"ENSMUSG00000094708"	0	4	4	3	0	1
"ENSMUSG00000105074"	0	1	3	0	0	0
"ENSMUSG00000029290"	37	146	551	152	365	289
"ENSMUSG00000105341"	0	0	0	41	0	92
"ENSMUSG00000105129"	0	0	2	0	0	0
"ENSMUSG00000105600"	0	1	2	0	0	0
"ENSMUSG00000049606"	36	18	397	248	413	435
"ENSMUSG00000088602"	0	0	0	0	0	14
"ENSMUSG00000029283"	28	177	503	120	554	70
"ENSMUSG00000029287"	162	2286	25	1636	598	1697
"ENSMUSG00000106643"	5	92	0	21	0	196
"ENSMUSG00000105033"	14	121	1	0	11	18
"ENSMUSG00000106671"	2	0	0	0	0	0
"ENSMUSG00000029279"	0	0	0	0	0	43
"ENSMUSG00000081798"	0	0	8	0	0	0
"ENSMUSG00000033805"	0	0	0	2	0	0
"ENSMUSG00000111375"	1	1	0	31	415	16
"ENSMUSG00000089628"	1	1	20	3	0	11
"ENSMUSG00000029276"	0	169	12	31	0	128
"ENSMUSG00000033773"	4	147	2	190	1	171
"ENSMUSG00000097035"	0	0	0	34	0	0
"ENSMUSG00000011831"	53	722	482	95	0	221
"ENSMUSG00000058558"	232	327	1337	572	843	581
"ENSMUSG00000077222"	0	0	0	1	0	1
"ENSMUSG00000029270"	63	1386	130	69	114	498
"ENSMUSG00000096920"	0	0	2	0	1	0
"ENSMUSG00000029267"	67	205	190	219	29	183
"ENSMUSG00000063406"	46	906	66	165	555	269
"ENSMUSG00000056531"	8	2	159	12	0	63
"ENSMUSG00000029265"	69	418	71	481	8	446
"ENSMUSG00000029263"	15	3	0	0	0	121
"ENSMUSG00000050856"	25	112	24	41	97	95
"ENSMUSG00000029490"	8	0	0	0	0	1
"ENSMUSG00000033623"	43	78	4	145	0	207
"ENSMUSG00000060730"	1	1	37	0	0	2
"ENSMUSG00000062234"	168	338	293	234	203	477
"ENSMUSG00000013495"	36	122	1	230	479	584
"ENSMUSG00000004815"	20	120	0	232	188	56
"ENSMUSG00000033540"	28	178	0	48	32	140
"ENSMUSG00000008090"	13	317	0	294	161	216
"ENSMUSG00000093545"	0	1	24	0	0	0
"ENSMUSG00000033467"	14	130	92	172	115	116
"ENSMUSG00000072763"	0	8	0	1	1	0
"ENSMUSG00000072762"	0	160	0	0	9	50
"ENSMUSG00000049477"	0	1	49	1	0	1
"ENSMUSG00000105471"	0	0	0	0	0	2
"ENSMUSG00000097140"	0	0	0	15	0	24
"ENSMUSG00000090015"	23	1	13	21	195	70
"ENSMUSG00000097863"	0	0	0	0	5	0
"ENSMUSG00000066613"	0	2	0	115	2	84
"ENSMUSG00000090963"	0	2	0	0	0	0
"ENSMUSG00000109771"	0	16	5	5	0	0
"ENSMUSG00000064247"	0	2	0	0	0	0
"ENSMUSG00000033434"	2	16	0	57	0	18
"ENSMUSG00000023284"	0	0	0	33	0	0
"ENSMUSG00000081865"	0	2	220	0	0	0
"ENSMUSG00000014668"	7	212	285	369	0	238
"ENSMUSG00000086247"	2	7	11	9	0	7
"ENSMUSG00000029502"	27	157	8	506	290	701
"ENSMUSG00000104720"	0	0	0	0	0	18
"ENSMUSG00000029501"	47	23	5	567	465	460
"ENSMUSG00000029500"	62	150	141	232	274	298
"ENSMUSG00000029499"	3	21	0	19	0	18
"ENSMUSG00000007080"	6	0	13	41	420	101
"ENSMUSG00000085606"	0	0	0	3	0	0
"ENSMUSG00000029503"	0	148	0	0	0	81
"ENSMUSG00000043323"	2	151	0	0	247	2
"ENSMUSG00000033294"	64	106	4	108	5	163
"ENSMUSG00000029504"	16	208	0	93	0	212
"ENSMUSG00000105161"	5	0	0	0	0	0
"ENSMUSG00000029505"	63	560	971	634	1037	692
"ENSMUSG00000095178"	0	9	0	0	0	1
"ENSMUSG00000086401"	6	0	0	51	0	0
"ENSMUSG00000029507"	21	158	0	103	0	110
"ENSMUSG00000029512"	5	64	0	91	0	70
"ENSMUSG00000043510"	0	11	80	24	12	1
"ENSMUSG00000029521"	0	0	231	33	264	6
"ENSMUSG00000033209"	41	71	0	165	0	158
"ENSMUSG00000081104"	0	0	3	11	0	8
"ENSMUSG00000105890"	0	21	0	0	0	0
"ENSMUSG00000106153"	0	0	0	22	0	12
"ENSMUSG00000050017"	49	108	126	540	502	671
"ENSMUSG00000070576"	84	216	108	258	462	307
"ENSMUSG00000097767"	0	0	0	3	0	24
"ENSMUSG00000029344"	58	255	32	375	408	695
"ENSMUSG00000029345"	0	0	59	85	0	117
"ENSMUSG00000042328"	0	0	2	14	15	122
"ENSMUSG00000029348"	0	0	0	0	0	42
"ENSMUSG00000058153"	0	0	0	0	2	0
"ENSMUSG00000042249"	0	1	2	117	0	50
"ENSMUSG00000042240"	0	0	2	0	0	0
"ENSMUSG00000105406"	0	0	3	0	0	2
"ENSMUSG00000029352"	0	17	0	0	0	21
"ENSMUSG00000051339"	48	2	0	67	110	369
"ENSMUSG00000104576"	0	0	0	3	0	31
"ENSMUSG00000063430"	6	10	0	121	225	2
"ENSMUSG00000042190"	0	3	0	3	11	3
"ENSMUSG00000053334"	48	282	0	83	611	543
"ENSMUSG00000018974"	58	330	51	462	0	385
"ENSMUSG00000105031"	11	57	4	26	23	33
"ENSMUSG00000025825"	44	244	131	78	221	261
"ENSMUSG00000054675"	56	366	0	561	69	598
"ENSMUSG00000048163"	20	52	311	62	128	62
"ENSMUSG00000004530"	114	994	404	929	1023	1644
"ENSMUSG00000105071"	8	176	0	0	2	0
"ENSMUSG00000105664"	0	0	0	0	6	0
"ENSMUSG00000042121"	15	86	24	126	127	161
"ENSMUSG00000029592"	0	90	0	0	0	0
"ENSMUSG00000044339"	7	27	0	34	7	31
"ENSMUSG00000029591"	31	21	19	0	0	53
"ENSMUSG00000042010"	0	1	0	35	1	34
"ENSMUSG00000066952"	0	0	0	51	0	0
"ENSMUSG00000001098"	17	54	251	308	536	514
"ENSMUSG00000029577"	66	278	123	369	195	698
"ENSMUSG00000029575"	21	98	18	44	0	6
"ENSMUSG00000041939"	18	0	0	21	1	64
"ENSMUSG00000014158"	105	398	0	733	645	1132
"ENSMUSG00000011884"	60	362	0	281	121	404
"ENSMUSG00000002486"	0	169	2	146	0	24
"ENSMUSG00000041890"	93	87	539	301	420	407
"ENSMUSG00000041870"	76	164	7	118	7	40
"ENSMUSG00000072694"	21	106	0	129	109	117
"ENSMUSG00000082052"	0	0	32	0	0	3
"ENSMUSG00000029561"	44	732	674	205	384	123
"ENSMUSG00000041827"	0	0	0	60	190	75
"ENSMUSG00000029559"	23	76	55	206	15	259
"ENSMUSG00000029550"	9	145	0	37	116	18
"ENSMUSG00000107054"	10	0	0	0	0	0
"ENSMUSG00000086167"	6	8	0	10	0	12
"ENSMUSG00000072692"	18	75	27	67	86	84
