"ensembl_gene_id"	"external_gene_name"	"hgnc_symbol"	"mgi_symbol"
"11444"	"ENSMUSG00000090300"	"Gm17119"	NA	"Gm17119"
"11445"	"ENSMUSG00000090303"	"Vmn2r-ps3"	NA	"Vmn2r-ps3"
"11446"	"ENSMUSG00000090306"	"Adh6-ps1"	NA	"Adh6-ps1"
"11447"	"ENSMUSG00000090314"	"2310050C09Rik"	NA	"2310050C09Rik"
"11448"	"ENSMUSG00000090338"	"Gm17081"	NA	"Gm17081"
"11449"	"ENSMUSG00000090408"	"Gm17402"	NA	"Gm17402"
"11450"	"ENSMUSG00000090427"	"Gm17225"	NA	"Gm17225"
"11451"	"ENSMUSG00000090441"	"Gm17651"	NA	"Gm17651"
"11452"	"ENSMUSG00000090474"	"Gm9372"	NA	"Gm9372"
"11453"	"ENSMUSG00000090527"	"Aadacl2fm2"	NA	"Aadacl2fm2"
"11454"	"ENSMUSG00000090581"	"Vmn2r6"	NA	"Vmn2r6"
"11455"	"ENSMUSG00000090733"	"Rps27"	NA	"Rps27"
"11456"	"ENSMUSG00000090743"	"Gm17213"	NA	"Gm17213"
"11457"	"ENSMUSG00000090801"	"Gm4862"	NA	"Gm4862"
"11458"	"ENSMUSG00000090817"	"Gm4450"	NA	"Gm4450"
"11459"	"ENSMUSG00000090839"	"Gm17094"	NA	"Gm17094"
"11460"	"ENSMUSG00000090919"	"Pabpc4l"	NA	"Pabpc4l"
"11461"	"ENSMUSG00000090941"	"Gm17212"	NA	"Gm17212"
"11462"	"ENSMUSG00000091091"	"Kcnmb3"	NA	"Kcnmb3"
"11463"	"ENSMUSG00000091175"	"S100a7l2"	NA	"S100a7l2"
"11464"	"ENSMUSG00000091223"	"Gm8775"	NA	"Gm8775"
"11465"	"ENSMUSG00000091272"	"Gm17641"	NA	"Gm17641"
"11466"	"ENSMUSG00000091315"	"Gm17214"	NA	"Gm17214"
"11467"	"ENSMUSG00000091329"	"1700112D23Rik"	NA	"1700112D23Rik"
"11468"	"ENSMUSG00000091361"	"Gm5277"	NA	"Gm5277"
"11469"	"ENSMUSG00000091376"	"Aadacl2"	NA	"Aadacl2"
"11470"	"ENSMUSG00000091405"	"H4c14"	NA	"H4c14"
"11471"	"ENSMUSG00000091421"	"Gm4202"	NA	"Gm4202"
"11472"	"ENSMUSG00000091512"	"Lamtor3"	NA	"Lamtor3"
"11473"	"ENSMUSG00000091542"	"Gm17167"	NA	"Gm17167"
"11474"	"ENSMUSG00000091572"	"Vmn2r3"	NA	"Vmn2r3"
"11475"	"ENSMUSG00000091575"	"2010016I18Rik"	NA	"2010016I18Rik"
"11476"	"ENSMUSG00000091648"	"C2cd4d"	NA	"C2cd4d"
"11477"	"ENSMUSG00000091685"	"Gm17359"	NA	"Gm17359"
"11478"	"ENSMUSG00000091721"	"Gimd1"	NA	"Gimd1"
"11479"	"ENSMUSG00000091736"	"Yy2"	NA	"Yy2"
"11480"	"ENSMUSG00000091863"	"Cldn34a"	NA	"Cldn34a"
"11481"	"ENSMUSG00000091881"	"Gm17146"	NA	"Gm17146"
"11482"	"ENSMUSG00000091938"	"Gm2564"	NA	"Gm2564"
"11483"	"ENSMUSG00000091967"	"Vmn2r128"	NA	"Vmn2r128"
"11484"	"ENSMUSG00000092049"	"Vmn2r4"	NA	"Vmn2r4"
"11485"	"ENSMUSG00000092072"	"Gm4540"	NA	"Gm4540"
"11486"	"ENSMUSG00000092196"	"Gm38505"	NA	"Gm38505"
"11487"	"ENSMUSG00000092242"	"Gm20515"	NA	"Gm20515"
"11488"	"ENSMUSG00000092345"	"Gm20503"	NA	"Gm20503"
"11489"	"ENSMUSG00000092405"	"Gm20402"	NA	"Gm20402"
"11490"	"ENSMUSG00000092492"	"B230208B08Rik"	NA	"B230208B08Rik"
"11491"	"ENSMUSG00000092522"	"Gm20389"	NA	"Gm20389"
"11492"	"ENSMUSG00000092607"	"Scnm1"	NA	"Scnm1"
"11493"	"ENSMUSG00000092677"	"Mir5106"	NA	"Mir5106"
"11494"	"ENSMUSG00000092695"	"Mir3092"	NA	"Mir3092"
"11495"	"ENSMUSG00000092730"	"Snora24"	NA	"Snora24"
"11496"	"ENSMUSG00000092752"	"Mir3473a"	NA	"Mir3473a"
"11497"	"ENSMUSG00000092761"	"Mir5120"	NA	"Mir5120"
"11498"	"ENSMUSG00000092830"	"Mir3963"	NA	"Mir3963"
"11499"	"ENSMUSG00000092862"	"Mir3094"	NA	"Mir3094"
"11500"	"ENSMUSG00000092879"	"Gm22650"	NA	"Gm22650"
"11501"	"ENSMUSG00000092880"	"Mir3471-1"	NA	"Mir3471-1"
"11502"	"ENSMUSG00000092986"	"Gm25574"	NA	"Gm25574"
"11503"	"ENSMUSG00000092988"	"Mir3093"	NA	"Mir3093"
"11504"	"ENSMUSG00000092990"	"Mir466q"	NA	"Mir466q"
"11505"	"ENSMUSG00000093039"	"Mir1912"	NA	"Mir1912"
"11506"	"ENSMUSG00000093073"	"Mir124a-2"	NA	"Mir124a-2"
"11507"	"ENSMUSG00000093093"	"Gm22642"	NA	"Gm22642"
"11508"	"ENSMUSG00000093102"	"Mir3475"	NA	"Mir3475"
"11509"	"ENSMUSG00000093122"	"Mir1264"	NA	"Mir1264"
"11510"	"ENSMUSG00000093183"	"Gm25687"	NA	"Gm25687"
"11511"	"ENSMUSG00000093219"	"Mir3113"	NA	"Mir3113"
"11512"	"ENSMUSG00000093293"	"Mir3095"	NA	"Mir3095"
"11513"	"ENSMUSG00000093384"	"Gm20689"	NA	"Gm20689"
"11514"	"ENSMUSG00000093390"	"Gm20652"	NA	"Gm20652"
"11515"	"ENSMUSG00000093392"	"Gm6061"	NA	"Gm6061"
"11516"	"ENSMUSG00000093395"	"Vmn2r-ps6"	NA	"Vmn2r-ps6"
"11517"	"ENSMUSG00000093402"	"Gm18588"	NA	"Gm18588"
"11518"	"ENSMUSG00000093416"	"Gm18294"	NA	"Gm18294"
"11519"	"ENSMUSG00000093424"	"6330562C20Rik"	NA	"6330562C20Rik"
"11520"	"ENSMUSG00000093434"	"Vmn2r-ps11"	NA	"Vmn2r-ps11"
"11521"	"ENSMUSG00000093447"	"Gm5139"	NA	"Gm5139"
"11522"	"ENSMUSG00000093474"	"Vmn2r-ps12"	NA	"Vmn2r-ps12"
"11523"	"ENSMUSG00000093484"	"Gm20657"	NA	"Gm20657"
"11524"	"ENSMUSG00000093503"	"Vmn2r-ps4"	NA	"Vmn2r-ps4"
"11525"	"ENSMUSG00000093505"	"Gm20691"	NA	"Gm20691"
"11526"	"ENSMUSG00000093507"	"Gm20627"	NA	"Gm20627"
"11527"	"ENSMUSG00000093546"	"Vmn2r-ps7"	NA	"Vmn2r-ps7"
"11528"	"ENSMUSG00000093553"	"Gm20633"	NA	"Gm20633"
"11529"	"ENSMUSG00000093557"	"4930555M17Rik"	NA	"4930555M17Rik"
"11530"	"ENSMUSG00000093562"	"Gm23090"	NA	"Gm23090"
"11531"	"ENSMUSG00000093577"	"Gm20632"	NA	"Gm20632"
"11532"	"ENSMUSG00000093656"	"Gm20628"	NA	"Gm20628"
"11533"	"ENSMUSG00000093671"	"Gm20656"	NA	"Gm20656"
"11534"	"ENSMUSG00000093699"	"Vmn2r-ps9"	NA	"Vmn2r-ps9"
"11535"	"ENSMUSG00000093730"	"Gm20690"	NA	"Gm20690"
"11536"	"ENSMUSG00000093738"	"AI606473"	NA	"AI606473"
"11537"	"ENSMUSG00000093767"	"Vmn2r-ps13"	NA	"Vmn2r-ps13"
"11538"	"ENSMUSG00000093769"	"H3c14"	NA	"H3c14"
"11539"	"ENSMUSG00000093806"	"Asmt"	NA	"Asmt"
"11540"	"ENSMUSG00000093851"	"Gm15089"	NA	"Gm15089"
"11541"	"ENSMUSG00000093865"	"Lrit3"	NA	"Lrit3"
"11542"	"ENSMUSG00000093899"	"Gm5645"	NA	"Gm5645"
"11543"	"ENSMUSG00000093909"	"Gm3883"	NA	"Gm3883"
"11544"	"ENSMUSG00000093931"	"Amy2a3"	NA	"Amy2a3"
"11545"	"ENSMUSG00000093962"	"Gm11756"	NA	"Gm11756"
"11546"	"ENSMUSG00000093996"	"Fam205a3"	NA	"Fam205a3"
"11547"	"ENSMUSG00000094004"	"Gm5128"	NA	"Gm5128"
"11548"	"ENSMUSG00000094018"	"S100a2"	NA	"S100a2"
"11549"	"ENSMUSG00000094065"	"Ccl21d"	NA	"Ccl21d"
"11550"	"ENSMUSG00000094066"	"Fam205a2"	NA	"Fam205a2"
"11551"	"ENSMUSG00000094082"	"Gm12452"	NA	"Gm12452"
"11552"	"ENSMUSG00000094084"	"Tdpoz1"	NA	"Tdpoz1"
"11553"	"ENSMUSG00000094116"	"Gm11237"	NA	"Gm11237"
"11554"	"ENSMUSG00000094118"	"Gm16445"	NA	"Gm16445"
"11555"	"ENSMUSG00000094162"	"Gm2457"	NA	"Gm2457"
"11556"	"ENSMUSG00000094163"	"Tdpoz5"	NA	"Tdpoz5"
"11557"	"ENSMUSG00000094196"	"Magea3"	NA	"Magea3"
"11558"	"ENSMUSG00000094202"	"Mup-ps26"	NA	"Mup-ps26"
"11559"	"ENSMUSG00000094222"	"Mup-ps6"	NA	"Mup-ps6"
"11560"	"ENSMUSG00000094235"	"Mup-ps24"	NA	"Mup-ps24"
"11561"	"ENSMUSG00000094253"	"Mir3471-2"	NA	"Mir3471-2"
"11562"	"ENSMUSG00000094276"	"Gm15068"	NA	"Gm15068"
"11563"	"ENSMUSG00000094286"	"Gm12424"	NA	"Gm12424"
"11564"	"ENSMUSG00000094293"	"Gm3893"	NA	"Gm3893"
"11565"	"ENSMUSG00000094328"	"Tdpoz9"	NA	"Tdpoz9"
"11566"	"ENSMUSG00000094344"	"Gm11942"	NA	"Gm11942"
"11567"	"ENSMUSG00000094371"	"Gm7905"	NA	"Gm7905"
"11568"	"ENSMUSG00000094378"	"Gm15097"	NA	"Gm15097"
"11569"	"ENSMUSG00000094392"	"Gm3788"	NA	"Gm3788"
"11570"	"ENSMUSG00000094427"	"Gm15143"	NA	"Gm15143"
"11571"	"ENSMUSG00000094482"	"Vmn2r-ps8"	NA	"Vmn2r-ps8"
"11572"	"ENSMUSG00000094487"	"Gm21958"	NA	"Gm21958"
"11573"	"ENSMUSG00000094577"	"Samt1b"	NA	"Samt1b"
"11574"	"ENSMUSG00000094592"	"Samt1d"	NA	"Samt1d"
"11575"	"ENSMUSG00000094595"	"Fsbp"	NA	"Fsbp"
"11576"	"ENSMUSG00000094613"	"A630076J17Rik"	NA	"A630076J17Rik"
"11577"	"ENSMUSG00000094643"	"Gm8303"	NA	"Gm8303"
"11578"	"ENSMUSG00000094686"	"Ccl21a"	NA	"Ccl21a"
"11579"	"ENSMUSG00000094695"	"Gm21953"	NA	"Gm21953"
"11580"	"ENSMUSG00000094712"	"Gm15099"	NA	"Gm15099"
"11581"	"ENSMUSG00000094743"	"Mup-ps7"	NA	"Mup-ps7"
"11582"	"ENSMUSG00000094763"	"Gm1647"	NA	"Gm1647"
"11583"	"ENSMUSG00000094767"	"Gm8402"	NA	"Gm8402"
"11584"	"ENSMUSG00000094771"	"Gm23860"	NA	"Gm23860"
"11585"	"ENSMUSG00000094793"	"Mup12"	NA	"Mup12"
"11586"	"ENSMUSG00000094802"	"Samt1"	NA	"Samt1"
"11587"	"ENSMUSG00000094856"	"Gm21962"	NA	"Gm21962"
"11588"	"ENSMUSG00000094885"	"Ott"	NA	"Ott"
"11589"	"ENSMUSG00000094941"	"Gm15093"	NA	"Gm15093"
"11590"	"ENSMUSG00000094948"	"Gm21286"	NA	"Gm21286"
"11591"	"ENSMUSG00000094962"	"Gm21954"	NA	"Gm21954"
"11592"	"ENSMUSG00000094964"	"Gm15101"	NA	"Gm15101"
"11593"	"ENSMUSG00000095003"	"Gm25173"	NA	"Gm25173"
"11594"	"ENSMUSG00000095028"	"Sirpb1b"	NA	"Sirpb1b"
"11595"	"ENSMUSG00000095042"	"Gm12537"	NA	"Gm12537"
"11596"	"ENSMUSG00000095048"	"Gm11239"	NA	"Gm11239"
"11597"	"ENSMUSG00000095065"	"Gm5947"	NA	"Gm5947"
"11598"	"ENSMUSG00000095082"	"Gm15091"	NA	"Gm15091"
"11599"	"ENSMUSG00000095107"	"Vmn2r-ps10"	NA	"Vmn2r-ps10"
"11600"	"ENSMUSG00000095128"	"Gm5709"	NA	"Gm5709"
"11601"	"ENSMUSG00000095139"	"Pou3f2"	NA	"Pou3f2"
"11602"	"ENSMUSG00000095143"	"Hsd3b4"	NA	"Hsd3b4"
"11603"	"ENSMUSG00000095234"	"Gm21586"	NA	"Gm21586"
"11604"	"ENSMUSG00000095251"	"Tdpoz7"	NA	"Tdpoz7"
"11605"	"ENSMUSG00000095258"	"Gm2163"	NA	"Gm2163"
"11606"	"ENSMUSG00000095298"	"Gm12407"	NA	"Gm12407"
"11607"	"ENSMUSG00000095307"	"Gm12573"	NA	"Gm12573"
"11608"	"ENSMUSG00000095327"	"Gm14996"	NA	"Gm14996"
"11609"	"ENSMUSG00000095341"	"Gm428"	NA	"Gm428"
"11610"	"ENSMUSG00000095348"	"Gm3892"	NA	"Gm3892"
"11611"	"ENSMUSG00000095388"	"Gm10681"	NA	"Gm10681"
"11612"	"ENSMUSG00000095394"	"Gm25485"	NA	"Gm25485"
"11613"	"ENSMUSG00000095408"	"Gm8366"	NA	"Gm8366"
"11614"	"ENSMUSG00000095455"	"Mup-ps3"	NA	"Mup-ps3"
"11615"	"ENSMUSG00000095465"	"Gm6214"	NA	"Gm6214"
"11616"	"ENSMUSG00000095522"	"Aadacl2fm3"	NA	"Aadacl2fm3"
"11617"	"ENSMUSG00000095532"	"Mup-ps13"	NA	"Mup-ps13"
"11618"	"ENSMUSG00000095534"	"Gm15102"	NA	"Gm15102"
"11619"	"ENSMUSG00000095561"	"Gm8383"	NA	"Gm8383"
"11620"	"ENSMUSG00000095562"	"Erdr1"	NA	""
"11621"	"ENSMUSG00000095588"	"Gm12350"	NA	"Gm12350"
"11622"	"ENSMUSG00000095591"	"Gm15045"	NA	"Gm15045"
"11623"	"ENSMUSG00000095597"	"Rps7-ps3"	NA	"Rps7-ps3"
"11624"	"ENSMUSG00000095599"	"Gm6215"	NA	"Gm6215"
"11625"	"ENSMUSG00000095621"	"Gm15085"	NA	"Gm15085"
"11626"	"ENSMUSG00000095627"	"Gm8331"	NA	"Gm8331"
"11627"	"ENSMUSG00000095661"	"Gm8935"	NA	"Gm8935"
"11628"	"ENSMUSG00000095675"	"Ccl21b"	NA	"Ccl21b"
"11629"	"ENSMUSG00000095702"	"Gm15005"	NA	"Gm15005"
"11630"	"ENSMUSG00000095779"	""	NA	""
"11631"	"ENSMUSG00000095788"	"Sirpb1a"	NA	"Sirpb1a"
"11632"	"ENSMUSG00000095820"	"Gm15098"	NA	"Gm15098"
"11633"	"ENSMUSG00000095822"	"Tdpoz9-ps1"	NA	"Tdpoz9-ps1"
"11634"	"ENSMUSG00000095827"	"Gm5283"	NA	"Gm5283"
"11635"	"ENSMUSG00000095836"	"Gm21960"	NA	"Gm21960"
"11636"	"ENSMUSG00000095870"	"Lce1k"	NA	"Lce1k"
"11637"	"ENSMUSG00000095872"	"Gm15128"	NA	"Gm15128"
"11638"	"ENSMUSG00000095935"	"Gm11238"	NA	"Gm11238"
"11639"	"ENSMUSG00000095964"	"Gm6221"	NA	"Gm6221"
"11640"	"ENSMUSG00000095971"	"Gm26436"	NA	"Gm26436"
"11641"	"ENSMUSG00000095978"	"Mup-ps11"	NA	"Mup-ps11"
"11642"	"ENSMUSG00000095988"	"Gm15042"	NA	"Gm15042"
"11643"	"ENSMUSG00000095994"	"Gm15084"	NA	"Gm15084"
"11644"	"ENSMUSG00000096008"	"Gm15100"	NA	"Gm15100"
"11645"	"ENSMUSG00000096105"	"Bhmt-ps1"	NA	"Bhmt-ps1"
"11646"	"ENSMUSG00000096119"	"Gm6228"	NA	"Gm6228"
"11647"	"ENSMUSG00000096177"	"Gm5070"	NA	"Gm5070"
"11648"	"ENSMUSG00000096179"	"Gm15090"	NA	"Gm15090"
"11649"	"ENSMUSG00000096195"	"Gm26138"	NA	"Gm26138"
"11650"	"ENSMUSG00000096213"	"Gm15088"	NA	"Gm15088"
"11651"	"ENSMUSG00000096225"	"Lhx8"	NA	"Lhx8"
"11652"	"ENSMUSG00000096256"	"4933409K07Rik"	NA	"4933409K07Rik"
"11653"	"ENSMUSG00000096327"	"Gm21980"	NA	"Gm21980"
"11654"	"ENSMUSG00000096333"	"Gm13871"	NA	"Gm13871"
"11655"	"ENSMUSG00000096338"	"Gm15086"	NA	"Gm15086"
"11656"	"ENSMUSG00000096377"	"Mir5123"	NA	"Mir5123"
"11657"	"ENSMUSG00000096400"	"Gm6098"	NA	"Gm6098"
"11658"	"ENSMUSG00000096423"	"Gm24978"	NA	"Gm24978"
"11659"	"ENSMUSG00000096453"	"Gm8320"	NA	"Gm8320"
"11660"	"ENSMUSG00000096476"	"Gm12453"	NA	"Gm12453"
"11661"	"ENSMUSG00000096508"	"Gm7903"	NA	"Gm7903"
"11662"	"ENSMUSG00000096530"	"Gm11758"	NA	"Gm11758"
"11663"	"ENSMUSG00000096544"	"Gm4617"	NA	"Gm4617"
"11664"	"ENSMUSG00000096569"	"Amy2a2"	NA	"Amy2a2"
"11665"	"ENSMUSG00000096589"	"Gm14992"	NA	"Gm14992"
"11666"	"ENSMUSG00000096596"	"Gm10591"	NA	"Gm10591"
"11667"	"ENSMUSG00000096621"	"Gm5849"	NA	"Gm5849"
"11668"	"ENSMUSG00000096644"	"Magea1"	NA	"Magea1"
"11669"	"ENSMUSG00000096652"	"Mup-ps9"	NA	"Mup-ps9"
"11670"	"ENSMUSG00000096654"	"Mup-ps29"	NA	"Mup-ps29"
"11671"	"ENSMUSG00000096661"	"Gm15069"	NA	"Gm15069"
"11672"	"ENSMUSG00000096674"	"Mup15"	NA	"Mup15"
"11673"	"ENSMUSG00000096688"	"Mup17"	NA	"Mup17"
"11674"	"ENSMUSG00000096700"	"Gm11236"	NA	"Gm11236"
"11675"	"ENSMUSG00000096738"	"Gm24317"	NA	"Gm24317"
"11676"	"ENSMUSG00000096750"	"Gm11757"	NA	"Gm11757"
"11677"	"ENSMUSG00000096770"	"Amy2a4"	NA	"Amy2a4"
"11678"	"ENSMUSG00000096792"	"Gm21956"	NA	"Gm21956"
"11679"	"ENSMUSG00000096826"	"Ccl27b"	NA	"Ccl27b"
"11680"	"ENSMUSG00000096834"	"Gm15127"	NA	"Gm15127"
"11681"	"ENSMUSG00000096862"	"Gm13301"	NA	"Gm13301"
"11682"	"ENSMUSG00000096867"	"Samt1c"	NA	"Samt1c"
"11683"	"ENSMUSG00000096879"	"Tdpoz8"	NA	"Tdpoz8"
"11684"	"ENSMUSG00000096891"	"Mup-ps8"	NA	"Mup-ps8"
"11685"	"ENSMUSG00000096899"	"Gm8346"	NA	"Gm8346"
"11686"	"ENSMUSG00000096922"	"Gm17308"	NA	"Gm17308"
"11687"	"ENSMUSG00000096930"	"Gm26657"	NA	"Gm26657"
"11688"	"ENSMUSG00000096935"	"1700113A16Rik"	NA	"1700113A16Rik"
"11689"	"ENSMUSG00000096974"	"Gm26881"	NA	"Gm26881"
"11690"	"ENSMUSG00000097004"	"4731419I09Rik"	NA	"4731419I09Rik"
"11691"	"ENSMUSG00000097031"	"Gm26820"	NA	"Gm26820"
"11692"	"ENSMUSG00000097032"	"4930539J05Rik"	NA	"4930539J05Rik"
"11693"	"ENSMUSG00000097040"	"2610316D01Rik"	NA	"2610316D01Rik"
"11694"	"ENSMUSG00000097041"	"Pafah1b1-ps1"	NA	"Pafah1b1-ps1"
"11695"	"ENSMUSG00000097124"	"A530020G20Rik"	NA	"A530020G20Rik"
"11696"	"ENSMUSG00000097156"	"Gm3764"	NA	"Gm3764"
"11697"	"ENSMUSG00000097167"	"Gm16740"	NA	"Gm16740"
"11698"	"ENSMUSG00000097183"	"Gm17501"	NA	"Gm17501"
"11699"	"ENSMUSG00000097189"	"Gm26594"	NA	"Gm26594"
"11700"	"ENSMUSG00000097204"	"Gm17690"	NA	"Gm17690"
"11701"	"ENSMUSG00000097250"	"Gm26771"	NA	"Gm26771"
"11702"	"ENSMUSG00000097280"	"AI849053"	NA	"AI849053"
"11703"	"ENSMUSG00000097293"	"D630002J18Rik"	NA	"D630002J18Rik"
"11704"	"ENSMUSG00000097299"	"Gm26654"	NA	"Gm26654"
"11705"	"ENSMUSG00000097304"	"Rpl31-ps15"	NA	"Rpl31-ps15"
"11706"	"ENSMUSG00000097311"	"Gm26871"	NA	"Gm26871"
"11707"	"ENSMUSG00000097339"	"Gm26671"	NA	"Gm26671"
"11708"	"ENSMUSG00000097362"	"Gm26544"	NA	"Gm26544"
"11709"	"ENSMUSG00000097365"	"C030034L19Rik"	NA	"C030034L19Rik"
"11710"	"ENSMUSG00000097366"	"Gm8177"	NA	"Gm8177"
"11711"	"ENSMUSG00000097428"	"AW047730"	NA	"AW047730"
"11712"	"ENSMUSG00000097456"	"Gm16958"	NA	"Gm16958"
"11713"	"ENSMUSG00000097515"	"1700040D17Rik"	NA	"1700040D17Rik"
"11714"	"ENSMUSG00000097532"	"Gm4349"	NA	"Gm4349"
"11715"	"ENSMUSG00000097538"	"Gm26939"	NA	"Gm26939"
"11716"	"ENSMUSG00000097539"	"4930477E14Rik"	NA	"4930477E14Rik"
"11717"	"ENSMUSG00000097583"	"6430590A07Rik"	NA	"6430590A07Rik"
"11718"	"ENSMUSG00000097584"	"1700125G22Rik"	NA	"1700125G22Rik"
"11719"	"ENSMUSG00000097639"	"Platr4"	NA	"Platr4"
"11720"	"ENSMUSG00000097713"	"Gm7741"	NA	"Gm7741"
"11721"	"ENSMUSG00000097724"	"Gm26850"	NA	"Gm26850"
"11722"	"ENSMUSG00000097725"	"4930593A02Rik"	NA	"4930593A02Rik"
"11723"	"ENSMUSG00000097745"	"AI115009"	NA	"AI115009"
"11724"	"ENSMUSG00000097761"	"4930534D22Rik"	NA	"4930534D22Rik"
"11725"	"ENSMUSG00000097786"	"4933429H19Rik"	NA	"4933429H19Rik"
"11726"	"ENSMUSG00000097790"	"Gm16399"	NA	"Gm16399"
"11727"	"ENSMUSG00000097804"	"Gm16685"	NA	"Gm16685"
"11728"	"ENSMUSG00000097807"	"Gm26553"	NA	"Gm26553"
"11729"	"ENSMUSG00000097851"	"Platr30"	NA	"Platr30"
"11730"	"ENSMUSG00000097852"	"4933405D12Rik"	NA	"4933405D12Rik"
"11731"	"ENSMUSG00000097858"	"9530052C20Rik"	NA	"9530052C20Rik"
"11732"	"ENSMUSG00000097885"	"5031434O11Rik"	NA	"5031434O11Rik"
"11733"	"ENSMUSG00000097911"	"Gm26691"	NA	"Gm26691"
"11734"	"ENSMUSG00000097942"	"Gm26968"	NA	"Gm26968"
"11735"	"ENSMUSG00000097966"	"Gm9423"	NA	"Gm9423"
"11736"	"ENSMUSG00000097968"	"Tpi-rs2"	NA	"Tpi-rs2"
"11737"	"ENSMUSG00000097985"	"Gm5274"	NA	"Gm5274"
"11738"	"ENSMUSG00000098006"	"Gm8565"	NA	"Gm8565"
"11739"	"ENSMUSG00000098008"	"A930001A20Rik"	NA	"A930001A20Rik"
"11740"	"ENSMUSG00000098033"	"Gm9381"	NA	"Gm9381"
"11741"	"ENSMUSG00000098036"	"Gm8955"	NA	"Gm8955"
"11742"	"ENSMUSG00000098042"	"Gm5710"	NA	"Gm5710"
"11743"	"ENSMUSG00000098047"	"Gm18822"	NA	"Gm18822"
"11744"	"ENSMUSG00000098083"	"Gm8957"	NA	"Gm8957"
"11745"	"ENSMUSG00000098085"	"Gm8919"	NA	"Gm8919"
"11746"	"ENSMUSG00000098097"	"6530403H02Rik"	NA	"6530403H02Rik"
"11747"	"ENSMUSG00000098108"	"Gm27008"	NA	"Gm27008"
"11748"	"ENSMUSG00000098118"	"Gm26960"	NA	"Gm26960"
"11749"	"ENSMUSG00000098153"	"Gm27024"	NA	"Gm27024"
"11750"	"ENSMUSG00000098186"	"Gm7132"	NA	"Gm7132"
"11751"	"ENSMUSG00000098189"	"Gm8604"	NA	"Gm8604"
"11752"	"ENSMUSG00000098198"	"Gm9169"	NA	"Gm9169"
"11753"	"ENSMUSG00000098204"	"Gm26984"	NA	"Gm26984"
"11754"	"ENSMUSG00000098207"	"Arl14"	NA	"Arl14"
"11755"	"ENSMUSG00000098208"	"Gm8349"	NA	"Gm8349"
"11756"	"ENSMUSG00000098217"	"Gm27046"	NA	"Gm27046"
"11757"	"ENSMUSG00000098226"	"Gm5272"	NA	"Gm5272"
"11758"	"ENSMUSG00000098310"	"Mir8118"	NA	"Mir8118"
"11759"	"ENSMUSG00000098311"	"Gm27191"	NA	"Gm27191"
"11760"	"ENSMUSG00000098315"	"Mir21b"	NA	"Mir21b"
"11761"	"ENSMUSG00000098381"	"Mir7225"	NA	"Mir7225"
"11762"	"ENSMUSG00000098397"	"Mir7669"	NA	"Mir7669"
"11763"	"ENSMUSG00000098401"	"Mir6377"	NA	"Mir6377"
"11764"	"ENSMUSG00000098417"	"Mir6379"	NA	"Mir6379"
"11765"	"ENSMUSG00000098444"	"Gm27811"	NA	"Gm27811"
"11766"	"ENSMUSG00000098493"	"Mir6383"	NA	"Mir6383"
"11767"	"ENSMUSG00000098498"	"Mir8099-1"	NA	"Mir8099-1"
"11768"	"ENSMUSG00000098515"	"Gm27195"	NA	"Gm27195"
"11769"	"ENSMUSG00000098559"	"Gm15013"	NA	"Gm15013"
"11770"	"ENSMUSG00000098655"	"Mir7011"	NA	"Mir7011"
"11771"	"ENSMUSG00000098659"	"1110015O18Rik"	NA	"1110015O18Rik"
"11772"	"ENSMUSG00000098712"	"Mir7010"	NA	"Mir7010"
"11773"	"ENSMUSG00000098737"	"Mir7014"	NA	"Mir7014"
"11774"	"ENSMUSG00000098800"	"Gm27244"	NA	"Gm27244"
"11775"	"ENSMUSG00000098808"	"Mir7009"	NA	"Mir7009"
"11776"	"ENSMUSG00000098862"	"Mir6378"	NA	"Mir6378"
"11777"	"ENSMUSG00000098871"	"Mir6381"	NA	"Mir6381"
"11778"	"ENSMUSG00000098890"	"Mir7008"	NA	"Mir7008"
"11779"	"ENSMUSG00000098912"	"1500004A13Rik"	NA	"1500004A13Rik"
"11780"	"ENSMUSG00000098918"	"Mir6481"	NA	"Mir6481"
"11781"	"ENSMUSG00000098929"	"Mir6400"	NA	"Mir6400"
"11782"	"ENSMUSG00000098944"	"Mir8120"	NA	"Mir8120"
"11783"	"ENSMUSG00000099011"	"Mir6380"	NA	"Mir6380"
"11784"	"ENSMUSG00000099033"	"Mir7013"	NA	"Mir7013"
"11785"	"ENSMUSG00000099105"	"Mir7007"	NA	"Mir7007"
"11786"	"ENSMUSG00000099146"	"0610031O16Rik"	NA	"0610031O16Rik"
"11787"	"ENSMUSG00000099150"	"Gm27243"	NA	"Gm27243"
"11788"	"ENSMUSG00000099169"	"Mir7j"	NA	"Mir7j"
"11789"	"ENSMUSG00000099172"	"Mir3620"	NA	"Mir3620"
"11790"	"ENSMUSG00000099199"	"Mir7012"	NA	"Mir7012"
"11791"	"ENSMUSG00000099294"	"Gm11214"	NA	"Gm11214"
"11792"	"ENSMUSG00000099370"	"Platr10"	NA	"Platr10"
"11793"	"ENSMUSG00000099421"	"Gm29067"	NA	"Gm29067"
"11794"	"ENSMUSG00000099437"	"Gm29135"	NA	"Gm29135"
"11795"	"ENSMUSG00000099508"	"1700030L20Rik"	NA	"1700030L20Rik"
"11796"	"ENSMUSG00000099640"	"Gm28543"	NA	"Gm28543"
"11797"	"ENSMUSG00000099995"	"1700036G14Rik"	NA	"1700036G14Rik"
"11798"	"ENSMUSG00000100010"	"1700010I02Rik"	NA	"1700010I02Rik"
