TF	Target
NFKB	Gadd45gip1
NFKB	Galk1
RELA	Galns
NFKB	Galns
NFKB2	Galns
NFKB1	Galns
REL	Galns
NFKB	Galnt2
RELA	Galnt2
REL	Galnt2
NFKB	Galnt6
NFKB	Gamt
RELA	Gamt
NFKB2	Ganab
NFKB	Ganab
RELA	Ganab
NFKB1	Ganab
NFKB	Gapt
RELA	Gar1
NFKB	Gar1
REL	Gar1
NFKB1	Gas7
NFKB2	Gas7
NFKB	Gas7
NFKB2	Gatad2b
NFKB	Gatad2b
NFKB1	Gatad2b
NFKB	Gcdh
REL	Gcdh
RELA	Gcdh
REL	Gch1
NFKB	Gch1
NFKB2	Gch1
NFKB1	Gch1
NFKB	Gclc
REL	Gcnt2
NFKB	Gcnt2
NFKB1	Gcnt2
RELA	Gcnt2
NFKB2	Gcnt2
NFKB	Gcsam
NFKB1	Gcsam
NFKB	Gdi2
NFKB	Gdpd5
NFKB	Gemin4
NFKB	Gfi1b
NFKB	Gga1
NFKB	Gga3
NFKB1	Ggnbp2
NFKB2	Ggnbp2
NFKB	Ggnbp2
REL	Glb1l
NFKB	Glb1l
RELA	Glb1l
NFKB	Glce
RELA	Glce
NFKB1	Glce
NFKB	Glod4
RELA	Glrx3
NFKB	Glrx3
REL	Glrx3
NFKB2	Glrx3
NFKB1	Glrx3
NFKB1	Gm2a
NFKB	Gm2a
NFKB	Gmeb2
NFKB1	Gmeb2
NFKB2	Gmeb2
NFKB1	Gmfg
NFKB	Gmfg
NFKB1	Gna12
NFKB	Gna12
RELA	Gna12
REL	Gna12
RELA	Gna15
NFKB	Gna15
REL	Gna15
NFKB2	Gna15
NFKB2	Gnb1
RELA	Gnb1
NFKB	Gnb1
REL	Gnb1
NFKB	Gnb2
NFKB1	Gnb2
NFKB2	Gnb2
NFKB	Gnl1
RELA	Gnl3
NFKB	Gnl3
NFKB	Gnpda1
NFKB	Gnptab
REL	Gnptab
RELA	Gnptab
NFKB	Gnptg
NFKB1	Gnptg
RELA	Gon4l
NFKB	Gon4l
NFKB2	Gon4l
NFKB	Gorab
NFKB	Got1
NFKB1	Gpatch2l
NFKB	Gpatch2l
REL	Gpatch3
NFKB	Gpatch3
RELA	Gpatch3
RELA	Gpatch4
NFKB2	Gpatch4
NFKB	Gpatch4
NFKB	Gpbp1
RELA	Gpbp1
NFKB1	Gpbp1
REL	Gpbp1
NFKB2	Gpbp1
REL	Gpn2
NFKB	Gpn2
RELA	Gpn2
REL	Gpr137
NFKB	Gpr137
RELA	Gpr137
RELA	Gpr141
REL	Gpr141
NFKB2	Gpr141
NFKB	Gpr141
NFKB1	Gpr141
NFKB	Gpr68
RELA	Gpr68
REL	Gpr68
NFKB	Gprc5b
NFKB1	Gpx3
NFKB	Gpx3
NFKB	Gpx4
RELA	Gpx4
NFKB	Gramd4
NFKB	Grb2
NFKB1	Grhpr
NFKB	Grhpr
NFKB2	Grhpr
RELA	Grhpr
REL	Grhpr
NFKB	Gripap1
NFKB2	Gripap1
NFKB1	Gripap1
NFKB	Gsn
RELA	Gsn
REL	Gsn
NFKB	Gstz1
REL	Gstz1
RELA	Gstz1
NFKB1	Gstz1
NFKB	Gtf2h3
NFKB	Gtf2h4
NFKB	Gtf3c4
NFKB	Gtf3c5
NFKB1	Gtpbp2
NFKB2	Gtpbp2
NFKB	Gtpbp2
NFKB	Gtse1
RELA	Gypc
REL	Gypc
NFKB	Gypc
NFKB	Gys1
NFKB2	Gys1
REL	Gys1
NFKB1	Gys1
RELA	Gys1
NFKB2	Haao
NFKB1	Haao
NFKB	Haao
NFKB2	Harbi1
NFKB	Harbi1
NFKB	Hdac10
NFKB1	Hdac10
NFKB2	Hdac10
NFKB	Hdac11
REL	Hdac11
RELA	Hdac11
NFKB2	Hdac2
REL	Hdac2
RELA	Hdac2
NFKB	Hdac2
NFKB1	Hdac2
NFKB	Hdac8
NFKB	Hdgf
NFKB1	Hdhd3
NFKB2	Hdhd3
NFKB	Hdhd3
NFKB	Helb
NFKB	Hinfp
NFKB	Hint1
REL	Hint1
RELA	Hipk1
NFKB2	Hipk1
REL	Hipk1
NFKB	Hipk1
RELA	Hivep3
NFKB1	Hivep3
REL	Hivep3
NFKB	Hivep3
NFKB	Hlf
NFKB	Hmbs
REL	Hmgb2
RELA	Hmgb2
NFKB2	Hmgb2
NFKB1	Hmgb2
NFKB	Hmgb2
NFKB1	Hmgxb4
NFKB	Hmgxb4
REL	Hnrnpc
RELA	Hnrnpc
NFKB	Hnrnpc
NFKB	Hnrnpf
REL	Hnrnpf
RELA	Hnrnpf
NFKB2	Hnrnpul2
NFKB	Hnrnpul2
NFKB1	Hnrnpul2
RELA	Hnrnpul2
NFKB1	Homer3
NFKB	Homer3
REL	Hook2
NFKB	Hook2
RELA	Hook2
NFKB	Hopx
RELA	Hsd17b4
REL	Hsd17b4
NFKB	Hsd17b4
NFKB1	Hsd3b7
NFKB	Hsd3b7
RELA	Hsp90ab1
REL	Hsp90ab1
NFKB1	Hsp90ab1
NFKB	Hsp90ab1
NFKB2	Hsp90ab1
NFKB	Hspa2
NFKB	Hspa9
NFKB1	Hspa9
NFKB	Htra1
NFKB	Huwe1
NFKB1	Huwe1
NFKB	Hyal3
NFKB2	Hyal3
NFKB1	Hyal3
NFKB	Hyi
NFKB	Hyou1
NFKB	Ids
NFKB	Ier2
RELA	Ier2
REL	Ier2
RELA	Ier3
NFKB	Ier3
REL	Ier3
NFKB	Ifih1
RELA	Ifih1
NFKB	Ifitm1
NFKB	Ifngr2
RELA	Ifngr2
REL	Ifngr2
RELA	Ift20
NFKB	Ift20
NFKB1	Ift20
NFKB	Ift27
RELA	Ift27
REL	Ift27
NFKB	Ift46
NFKB1	Igfbp4
RELA	Igfbp4
REL	Igfbp4
NFKB	Igfbp4
NFKB2	Igfbp4
NFKB1	Igsf3
RELA	Igsf3
REL	Igsf3
NFKB	Igsf3
RELA	Ikbkb
NFKB	Ikbkb
NFKB1	Ikbke
NFKB	Ikbke
RELA	Ikzf1
NFKB	Ikzf1
NFKB1	Ikzf3
RELA	Ikzf3
NFKB	Ikzf3
REL	Ikzf3
NFKB2	Ikzf3
NFKB2	Il10ra
NFKB	Il10ra
NFKB	Il12rb2
NFKB	Il15
NFKB1	Il15
NFKB	Il15ra
NFKB1	Il15ra
NFKB2	Il27ra
NFKB1	Il27ra
REL	Il27ra
NFKB	Il27ra
RELA	Il27ra
NFKB	Il31ra
NFKB1	Il31ra
NFKB	Il6st
NFKB1	Il6st
NFKB	Ilk
NFKB2	Ilk
NFKB1	Ilk
NFKB	Immp2l
NFKB2	Immp2l
NFKB1	Immp2l
NFKB	Imp3
NFKB	Incenp
NFKB2	Incenp
NFKB1	Incenp
RELA	Incenp
NFKB	Ing2
RELA	Ing2
NFKB1	Ing2
REL	Ino80c
NFKB	Ino80c
NFKB1	Ino80c
RELA	Ino80c
NFKB	Inpp5a
NFKB	Inpp5k
NFKB	Inppl1
NFKB1	Insig2
NFKB2	Insig2
NFKB	Insig2
NFKB2	Ints5
NFKB	Ints5
NFKB1	Ints5
RELA	Ints5
NFKB	Ipo13
NFKB	Ipo4
REL	Ipo7
NFKB	Ipo7
NFKB	Ipp
RELA	Iqgap3
NFKB2	Iqgap3
NFKB	Iqgap3
RELA	Iqsec1
REL	Iqsec1
NFKB	Iqsec1
NFKB	Irak3
NFKB1	Irf1
NFKB	Irf1
REL	Irf2bpl
NFKB	Irf2bpl
NFKB1	Irf2bpl
RELA	Irf2bpl
NFKB	Irf4
RELA	Irf7
NFKB	Irf7
NFKB	Irf8
NFKB2	Irf8
REL	Irf8
NFKB1	Irf8
RELA	Irf8
NFKB	Isg20
NFKB	Isg20l2
NFKB1	Ist1
NFKB	Ist1
REL	Isyna1
RELA	Isyna1
NFKB	Isyna1
NFKB	Itga5
REL	Itga5
NFKB1	Itga5
NFKB	Itgal
NFKB1	Itgal
NFKB1	Itgb4
NFKB	Itgb4
RELA	Itm2b
NFKB	Itm2b
RELA	Itpkc
REL	Itpkc
NFKB	Itpkc
NFKB2	Itpkc
NFKB1	Itpkc
NFKB1	Itpr1
RELA	Itpr1
NFKB	Itpr1
NFKB	Itpripl1
REL	Itpripl1
RELA	Itpripl1
RELA	Itpripl2
NFKB	Itpripl2
RELA	Itsn2
REL	Itsn2
NFKB1	Itsn2
NFKB	Itsn2
NFKB	Izumo4
NFKB1	Izumo4
NFKB1	Jak1
RELA	Jak1
REL	Jak1
NFKB	Jak1
RELA	Jak3
REL	Jak3
NFKB	Jak3
NFKB	Jmjd6
RELA	Jrkl
NFKB	Jrkl
REL	Jrkl
NFKB	Junb
REL	Junb
RELA	Junb
NFKB	Kansl1l
NFKB2	Kansl1l
REL	Kansl1l
NFKB1	Kansl1l
REL	Kansl3
RELA	Kansl3
NFKB	Kansl3
NFKB1	Kat8
NFKB	Kat8
NFKB	Kbtbd11
NFKB1	Kbtbd11
NFKB	Kbtbd2
NFKB1	Kbtbd2
RELA	Kbtbd2
NFKB2	Kctd11
NFKB1	Kctd11
RELA	Kctd11
NFKB	Kctd11
REL	Kctd11
RELA	Kctd17
REL	Kctd17
NFKB	Kctd17
NFKB	Kctd2
NFKB	Kctd3
NFKB2	Kctd3
NFKB1	Kctd3
NFKB1	Kdm3b
NFKB	Kdm3b
NFKB	Kdm4a
REL	Kdm5b
NFKB	Kdm5b
RELA	Kdm5b
NFKB	Kdm7a
NFKB1	Kif20a
NFKB	Kif20a
NFKB	Kif5b
NFKB1	Kif5b
RELA	Klf1
REL	Klf1
NFKB	Klf1
NFKB1	Klf16
NFKB	Klf16
NFKB	Klf2
NFKB	Klf3
NFKB	Klf6
NFKB1	Klf6
NFKB	Klhl12
NFKB1	Klhl12
REL	Klhl12
NFKB2	Klhl12
RELA	Klhl12
NFKB	Klhl23
NFKB1	Klhl23
NFKB1	Klhl26
NFKB	Klhl26
NFKB	Klhl35
NFKB2	Kmt2a
NFKB	Kmt2a
NFKB2	Ktn1
NFKB	Ktn1
NFKB1	Ktn1
NFKB1	Kxd1
NFKB	Kxd1
NFKB	L3hypdh
NFKB	Lair1
NFKB2	Lamtor2
NFKB	Lamtor2
RELA	Lamtor2
NFKB	Larp7
RELA	Larp7
REL	Larp7
NFKB	Las1l
RELA	Lat
REL	Lat
NFKB	Lat
NFKB	Lax1
REL	Lax1
NFKB2	Lax1
NFKB1	Lax1
RELA	Lax1
NFKB	Lbp
RELA	Lbp
NFKB	Lcmt2
RELA	Lcp2
NFKB1	Lcp2
NFKB	Lcp2
NFKB	Ldlr
NFKB	Lemd2
NFKB	Leng1
NFKB	Leng8
NFKB	Leng9
NFKB1	Letm2
NFKB	Letm2
REL	Letm2
NFKB	Lfng
REL	Lfng
RELA	Lfng
NFKB1	Lfng
NFKB	Lgals3
NFKB1	Lgals3
NFKB2	Lgals3
NFKB1	Lif
REL	Lif
RELA	Lif
NFKB	Lif
NFKB	Limd2
NFKB1	Limd2
RELA	Limd2
REL	Limd2
NFKB	Limk1
NFKB	Llgl2
NFKB	Llph
RELA	Lman2l
NFKB	Lman2l
REL	Lman2l
NFKB	Lmna
RELA	Lmna
NFKB2	Lmna
NFKB1	Lmnb2
NFKB	Lmnb2
REL	Lnx1
RELA	Lnx1
NFKB	Lnx1
NFKB	Lonrf1
REL	Lonrf1
NFKB	Lpcat1
NFKB1	Lrg1
NFKB	Lrg1
NFKB2	Lrg1
RELA	Lrp4
NFKB	Lrp4
REL	Lrp4
RELA	Lrp6
NFKB1	Lrp6
NFKB2	Lrp6
REL	Lrp6
NFKB	Lrp6
NFKB	Lrrc1
RELA	Lrrc25
NFKB	Lrrc25
REL	Lrrc25
NFKB1	Lrrc8b
NFKB	Lrrc8b
NFKB	Lrrfip1
NFKB	Lrsam1
NFKB	Lsm1
NFKB1	Lsm1
RELA	Lsm1
NFKB	Lsm14a
REL	Lsm4
RELA	Lsm4
NFKB	Lsm4
NFKB	Lsm7
NFKB1	Lsm7
NFKB	Lss
NFKB	Ltbp1
NFKB	Ltn1
RELA	Ltn1
NFKB2	Ly86
REL	Ly86
NFKB1	Ly86
NFKB	Ly86
RELA	Ly86
RELA	Lyl1
NFKB	Lyl1
REL	Lyl1
RELA	Lyn
NFKB	Lyn
REL	Lyn
NFKB1	Lyn
REL	Lyrm7
NFKB	Lyrm7
NFKB1	Lzic
NFKB	Lzic
NFKB	Mad1l1
NFKB1	Mad1l1
NFKB1	Mad2l1bp
NFKB2	Mad2l1bp
NFKB	Mad2l1bp
REL	Madd
NFKB	Madd
RELA	Madd
NFKB	Maml1
NFKB1	Maml1
RELA	Maml2
NFKB2	Maml2
NFKB1	Maml2
NFKB	Maml2
REL	Maml2
NFKB	Man2b1
REL	Man2b1
RELA	Man2b1
NFKB	Man2c1
NFKB	Manba
NFKB	Map1s
RELA	Map1s
REL	Map1s
NFKB2	Map2k3
NFKB1	Map2k3
NFKB	Map2k3
NFKB	Map2k5
NFKB1	Map2k5
REL	Map2k5
RELA	Map2k5
NFKB1	Map3k11
NFKB	Map3k11
RELA	Map3k2
NFKB	Map3k2
NFKB1	Map3k2
NFKB	Map3k7
NFKB2	Map3k7
NFKB1	Map3k7
NFKB	Map3k8
NFKB1	Map3k8
RELA	Map3k8
REL	Map3k8
NFKB	Map4k4
REL	Map4k4
RELA	Map4k4
NFKB1	Map7d1
NFKB	Map7d1
NFKB	Map7d3
NFKB	Mapk11
NFKB2	Mapk11
NFKB1	Mapk11
NFKB	Mapk12
NFKB2	Mapk12
NFKB1	Mapk12
NFKB	Mapk14
NFKB2	Mapk1ip1l
NFKB	Mapk1ip1l
NFKB1	Mapk1ip1l
NFKB1	Marcks
NFKB2	Marcks
NFKB	Marcks
REL	Marcks
RELA	Marcks
REL	Mast1
NFKB	Mast1
RELA	Mast1
NFKB	Mbd3
NFKB1	Mbd3
NFKB	Mbnl2
RELA	Mbnl2
NFKB	Mboat1
NFKB	Mboat7
NFKB	Mcm3ap
NFKB	Mcm6
NFKB2	Mcm6
RELA	Mcm6
NFKB	Mcmbp
NFKB	Mcoln2
NFKB	Mctp2
NFKB	Mdc1
NFKB	Mdga1
REL	Mdga1
RELA	Mdga1
NFKB	Mdm1
NFKB	Mdm2
NFKB2	Mdn1
NFKB	Mdn1
NFKB1	Mdn1
REL	Med1
RELA	Med1
NFKB	Med1
NFKB	Med15
NFKB	Med16
RELA	Med16
NFKB	Med22
RELA	Med24
NFKB1	Med24
NFKB2	Med24
REL	Med24
NFKB	Med24
NFKB	Med26
NFKB1	Med29
NFKB	Med29
NFKB2	Mef2d
RELA	Mef2d
NFKB	Mef2d
REL	Megf8
RELA	Megf8
NFKB2	Megf8
NFKB1	Megf8
NFKB	Megf8
NFKB	Melk
RELA	Melk
RELA	Metrnl
NFKB1	Metrnl
NFKB	Metrnl
REL	Metrnl
NFKB1	Mettl16
NFKB	Mettl16
RELA	Mettl16
NFKB2	Mettl16
REL	Mettl16
RELA	Mettl21a
NFKB2	Mettl21a
NFKB	Mettl21a
NFKB1	Mettl21a
REL	Mettl21a
NFKB	Mettl23
NFKB	Mettl3
NFKB1	Mex3d
NFKB	Mex3d
NFKB	Mfap3l
NFKB1	Mfap3l
NFKB	Mff
NFKB2	Mff
NFKB1	Mff
REL	Mfsd11
NFKB1	Mfsd11
NFKB	Mfsd11
NFKB	Mib1
NFKB	Mical3
RELA	Mical3
NFKB	Mid1ip1
RELA	Mid1ip1
NFKB	Midn
RELA	Midn
NFKB2	Midn
NFKB1	Midn
RELA	Mien1
NFKB	Mien1
REL	Mien1
NFKB	Mier1
NFKB	Mif4gd
RELA	Minpp1
NFKB	Minpp1
REL	Minpp1
RELA	Mios
NFKB	Mios
NFKB1	Mios
REL	Mitd1
NFKB	Mitd1
RELA	Mitd1
NFKB2	Mknk1
NFKB1	Mknk1
NFKB	Mknk1
NFKB	Mknk2
NFKB1	Mknk2
NFKB	Mkrn2
RELA	Mkrn2
NFKB	Mllt10
NFKB2	Mllt10
NFKB1	Mllt10
NFKB	Mmd
NFKB	Mns1
NFKB1	Mob3a
NFKB	Mob3a
NFKB1	Mob3c
NFKB	Mob3c
NFKB2	Mob3c
NFKB2	Mpdu1
NFKB	Mpdu1
NFKB1	Mpdu1
REL	Mpdu1
NFKB	Mpeg1
RELA	Mpeg1
REL	Mpeg1
NFKB	Mphosph8
REL	Mphosph8
REL	Mpst
NFKB	Mpst
RELA	Mpst
NFKB1	Mri1
NFKB	Mri1
NFKB2	Mri1
RELA	Mrpl14
REL	Mrpl14
NFKB	Mrpl14
NFKB1	Mrpl14
NFKB2	Mrpl14
NFKB	Mrpl24
REL	Mrpl30
RELA	Mrpl30
NFKB	Mrpl30
NFKB	Mrpl38
NFKB	Mrps12
NFKB1	Mrps12
NFKB2	Mrps18a
NFKB1	Mrps18a
NFKB	Mrps18a
NFKB1	Mrps6
NFKB	Mrps6
NFKB	Mrps7
NFKB1	Msl1
RELA	Msl1
REL	Msl1
NFKB2	Msl1
NFKB	Msl1
NFKB	Msn
NFKB	Msrb3
RELA	Msrb3
NFKB2	Mta2
NFKB1	Mta2
RELA	Mta2
NFKB	Mta2
REL	Mtch1
NFKB	Mtch1
RELA	Mtch1
RELA	Mtch2
REL	Mtch2
NFKB	Mtch2
NFKB1	Mtfmt
NFKB	Mtfmt
RELA	Mtfmt
RELA	Mtfp1
NFKB	Mtfp1
REL	Mtfp1
NFKB1	Mthfs
NFKB2	Mthfs
NFKB	Mthfs
NFKB	Mtmr14
NFKB2	Mtmr14
NFKB1	Mtmr14
RELA	Mtmr2
NFKB	Mtmr2
REL	Mtmr2
REL	Mtmr3
NFKB	Mtmr3
RELA	Mtmr3
NFKB	Mtss1
NFKB2	Mvd
REL	Mvd
RELA	Mvd
NFKB1	Mvd
NFKB	Mvd
RELA	Myh9
NFKB	Myh9
NFKB	Myo1b
REL	Myo1b
NFKB	Myo1c
NFKB	Mzb1
REL	Mzb1
NFKB1	Mzb1
RELA	Mzb1
NFKB2	Mzb1
REL	Nabp1
NFKB	Nabp1
NFKB	Nacc1
RELA	Nacc1
REL	Nacc1
NFKB1	Nacc2
NFKB	Nacc2
NFKB	Naga
NFKB1	Naga
RELA	Naga
NFKB	Naif1
NFKB	Nap1l1
NFKB1	Nap1l1
REL	Nap1l1
RELA	Nap1l1
NFKB2	Nap1l1
NFKB1	Narf
NFKB	Narf
NFKB	Nat10
REL	Ncapg
NFKB2	Ncapg
NFKB	Ncapg
RELA	Ncapg
REL	Ncaph
NFKB	Ncaph
RELA	Ncaph
RELA	Ncbp1
REL	Ncbp1
NFKB1	Ncbp1
NFKB2	Ncbp1
NFKB	Ncbp1
REL	Ncf4
NFKB	Ncf4
RELA	Ncf4
REL	Nck2
RELA	Nck2
NFKB	Nck2
RELA	Ncl
NFKB	Ncl
NFKB1	Ncl
NFKB	Ncs1
NFKB	Ndst1
NFKB1	Ndst1
NFKB	Ndufa12
NFKB1	Ndufa12
NFKB2	Ndufa12
RELA	Ndufa12
NFKB	Ndufa3
RELA	Ndufa6
NFKB1	Ndufa6
NFKB	Ndufa6
NFKB2	Ndufaf4
NFKB	Ndufaf4
NFKB1	Ndufaf4
NFKB	Ndufaf7
NFKB1	Ndufb7
NFKB	Ndufb7
NFKB	Ndufb9
NFKB	Ndufs7
RELA	Ndufs7
NFKB	Ndufv3
REL	Ndufv3
NFKB1	Ndufv3
NFKB	Neil1
NFKB2	Nek6
RELA	Nek6
NFKB1	Nek6
NFKB	Nek6
RELA	Nek8
NFKB	Nek8
NFKB	Nelfa
NFKB1	Nelfa
NFKB	Nelfcd
NFKB	Neu3
NFKB	Nf2
NFKB1	Nfam1
RELA	Nfam1
NFKB	Nfam1
REL	Nfam1
NFKB	Nfat5
REL	Nfix
RELA	Nfix
NFKB	Nfix
NFKB	Nfkb1
NFKB1	Nfkb1
REL	Nfkb1
RELA	Nfkb1
REL	Nfkb2
NFKB1	Nfkb2
NFKB	Nfkb2
NFKB2	Nfkb2
RELA	Nfkb2
REL	Nfkbia
NFKB1	Nfkbia
NFKB	Nfkbia
RELA	Nfkbia
NFKB1	Nfkbib
REL	Nfkbib
RELA	Nfkbib
NFKB2	Nfkbib
NFKB	Nfkbib
REL	Nfkbie
NFKB	Nfkbie
NFKB2	Nfkbie
NFKB1	Nfkbie
RELA	Nfkbie
NFKB	Ngly1
RELA	Nhej1
REL	Nhej1
NFKB	Nhej1
NFKB1	Nin
NFKB	Nin
NFKB	Ninj1
RELA	Nlk
NFKB	Nlk
NFKB	Nlrx1
NFKB1	Nmi
NFKB	Nmi
NFKB1	Nmnat1
NFKB	Nmnat1
NFKB	Nmrk1
NFKB	Noc3l
NFKB1	Noc3l
NFKB	Nol11
NFKB	Nolc1
NFKB	Nop10
NFKB	Nos1ap
NFKB	Nphp1
NFKB2	Nr1d1
RELA	Nr1d1
REL	Nr1d1
NFKB	Nr1d1
NFKB1	Nr1d1
NFKB	Nr1h3
RELA	Nr1h3
REL	Nr1h3
NFKB2	Nr4a1
NFKB1	Nr4a1
NFKB	Nr4a1
REL	Nrarp
NFKB1	Nrarp
NFKB	Nrarp
NFKB	Nrm
NFKB1	Nsfl1c
NFKB	Nsfl1c
NFKB	Nsmce2
NFKB	Nt5c
NFKB1	Nt5c
REL	Nt5c2
RELA	Nt5c2
NFKB	Nt5c2
NFKB	Nt5dc1
NFKB1	Nuak2
NFKB2	Nuak2
NFKB	Nuak2
NFKB1	Nub1
NFKB	Nub1
NFKB2	Nucks1
NFKB1	Nucks1
NFKB	Nucks1
RELA	Nudc
NFKB	Nudc
REL	Nudc
NFKB1	Nudt1
NFKB	Nudt1
NFKB	Nup107
NFKB1	Nup160
RELA	Nup160
REL	Nup160
NFKB	Nup160
NFKB1	Nup210
NFKB	Nup210
REL	Nup210
RELA	Nup210
NFKB2	Nup210
NFKB	Nup37
RELA	Nup37
REL	Nup37
NFKB	Nup85
RELA	Nxf1
NFKB1	Nxf1
NFKB	Nxf1
NFKB2	Nxf1
NFKB	Nxt1
REL	Nxt1
RELA	Nxt1
RELA	Nxt2
NFKB	Nxt2
REL	Nxt2
NFKB1	Oas3
REL	Oas3
RELA	Oas3
NFKB	Oas3
NFKB2	Oas3
NFKB	Oaz1
NFKB1	Oaz1
NFKB	Oaz2
RELA	Oaz2
NFKB1	Oaz2
NFKB	Odc1
NFKB1	Odc1
NFKB	Ogfod2
NFKB	Ogfod3
NFKB1	Ogfod3
NFKB1	Optn
RELA	Optn
NFKB2	Optn
REL	Optn
NFKB	Optn
NFKB1	Orai2
REL	Orai2
NFKB	Orai2
NFKB	Orai3
NFKB1	Orai3
RELA	Orc3
NFKB2	Orc3
REL	Orc3
NFKB	Orc3
NFKB1	Orc3
NFKB1	Ormdl3
RELA	Ormdl3
NFKB	Ormdl3
NFKB2	Ormdl3
REL	Ormdl3
REL	Osbp
RELA	Osbp
NFKB	Osbp
RELA	Osm
NFKB	Osm
REL	Osm
NFKB	Ostf1
NFKB	Otud4
REL	Otud4
RELA	Otud4
NFKB	Oxsm
NFKB	P2ry12
NFKB	P2ry13
RELA	P2ry2
NFKB	P2ry2
NFKB	P2ry6
RELA	P2ry6
NFKB1	P4ha1
NFKB2	P4ha1
REL	P4ha1
NFKB	P4ha1
NFKB1	Pacsin2
REL	Pacsin2
NFKB	Pacsin2
RELA	Pacsin2
NFKB2	Pacsin2
RELA	Pacsin3
NFKB	Pacsin3
REL	Pacsin3
NFKB	Paf1
NFKB1	Paf1
NFKB	Pafah1b1
NFKB1	Pafah1b1
NFKB2	Pafah1b1
REL	Pafah1b1
RELA	Pafah1b1
NFKB	Pafah1b3
REL	Paip2
NFKB2	Paip2
RELA	Paip2
NFKB1	Paip2
NFKB	Paip2
NFKB2	Pak1
NFKB	Pak1
NFKB1	Pak1
NFKB1	Pak1ip1
NFKB	Pak1ip1
NFKB2	Pak1ip1
REL	Pak1ip1
RELA	Pak1ip1
NFKB2	Pak4
REL	Pak4
NFKB	Pak4
NFKB1	Pak4
RELA	Pak4
NFKB	Palm
RELA	Palm
RELA	Pan2
NFKB	Pan2
RELA	Panx1
NFKB	Panx1
NFKB2	Papolg
NFKB	Papolg
NFKB1	Papolg
NFKB	Pard3b
NFKB1	Parp10
NFKB	Parp10
RELA	Parp10
NFKB	Parp16
NFKB1	Parp16
RELA	Parp16
RELA	Parp8
NFKB1	Parp8
NFKB	Parp8
NFKB2	Parp8
REL	Parp8
REL	Parpbp
RELA	Parpbp
NFKB	Parpbp
REL	Patl1
NFKB1	Patl1
RELA	Patl1
NFKB	Patl1
NFKB	Pbrm1
RELA	Pbrm1
NFKB1	Pbx3
NFKB	Pbx3
RELA	Pcbp3
NFKB1	Pcbp3
REL	Pcbp3
NFKB	Pcbp3
NFKB	Pcdhgb2
NFKB	Pcnt
NFKB1	Pcsk6
NFKB	Pcsk6
NFKB	Pcsk7
NFKB	Pdcd7
NFKB1	Pdcd7
RELA	Pdcd7
RELA	Pde2a
NFKB	Pde2a
NFKB	Pde4b
NFKB	Pde4d
NFKB1	Pde6d
NFKB	Pde6d
RELA	Pde6d
REL	Pdhx
RELA	Pdhx
NFKB	Pdhx
NFKB	Pdk1
NFKB1	Pdlim4
NFKB	Pdlim4
RELA	Pdlim7
NFKB	Pdlim7
REL	Pdlim7
NFKB	Pdxk
NFKB1	Pdxk
NFKB2	Pdzd2
REL	Pdzd2
NFKB1	Pdzd2
RELA	Pdzd2
NFKB	Pdzd2
NFKB	Pdzk1ip1
RELA	Pdzk1ip1
REL	Pdzk1ip1
NFKB	Pear1
NFKB2	Per1
REL	Per1
NFKB1	Per1
NFKB	Per1
RELA	Pes1
REL	Pes1
NFKB	Pes1
NFKB1	Pes1
NFKB1	Pex13
NFKB2	Pex13
NFKB	Pex13
NFKB2	Pfas
NFKB1	Pfas
NFKB	Pfas
REL	Pfas
NFKB1	Pfkfb3
RELA	Pfkfb3
NFKB	Pfkfb3
RELA	Pgap3
REL	Pgap3
NFKB	Pgap3
NFKB	Pgm2
REL	Pgpep1
RELA	Pgpep1
NFKB	Pgpep1
NFKB	Phc2
REL	Phf1
NFKB	Phf1
RELA	Phf1
RELA	Phf12
NFKB	Phf12
REL	Phf21a
RELA	Phf21a
NFKB	Phf21a
NFKB1	Phkg2
NFKB	Phkg2
RELA	Phyh
NFKB	Phyh
REL	Phyh
NFKB	Pif1
RELA	Pif1
NFKB1	Pif1
NFKB	Pigc
RELA	Pigs
NFKB	Pigs
NFKB	Pigv
NFKB1	Pigv
NFKB2	Pigv
RELA	Pigv
REL	Pigv
NFKB2	Pih1d1
NFKB1	Pih1d1
NFKB	Pih1d1
NFKB	Pih1d2
NFKB1	Pik3cb
RELA	Pik3cb
NFKB	Pik3cb
REL	Pim1
NFKB	Pim1
RELA	Pim1
NFKB1	Pim3
NFKB2	Pim3
NFKB	Pim3
NFKB	Pitpna
NFKB1	Pitpna
NFKB	Pknox1
REL	Pknox1
NFKB1	Pknox1
RELA	Pla2g12a
NFKB	Pla2g12a
REL	Pla2g12a
NFKB	Pla2g4c
RELA	Pla2g4c
REL	Pla2g4c
REL	Plag1
NFKB	Plag1
RELA	Plag1
NFKB1	Plag1
NFKB	Plbd1
RELA	Plcg2
NFKB1	Plcg2
NFKB2	Plcg2
NFKB	Plcg2
REL	Plcg2
NFKB	Pld1
RELA	Pld1
REL	Pld1
NFKB	Plek
NFKB1	Plek
RELA	Plek
REL	Plek
NFKB	Plekhf1
NFKB1	Plekhg2
NFKB2	Plekhg2
NFKB	Plekhg2
NFKB	Plekhj1
NFKB1	Plekhj1
NFKB	Plekhm2
NFKB	Plekho2
NFKB1	Plekho2
RELA	Plekho2
NFKB	Plin3
NFKB1	Plin3
NFKB	Plk2
NFKB	Pltp
NFKB1	Plxna2
NFKB2	Plxna2
RELA	Plxna2
NFKB	Plxna2
