TF	Target
NFKB	Aurkb
NFKB	B2m
RELA	B2m
REL	B2m
NFKB	B3gat3
NFKB2	B3gat3
RELA	B3gat3
NFKB1	B3gat3
REL	B3gnt3
NFKB	B3gnt3
RELA	B3gnt3
NFKB	B3gnt7
RELA	B3gnt7
NFKB1	B3gnt7
NFKB1	B3gntl1
RELA	B3gntl1
NFKB	B3gntl1
REL	B3gntl1
NFKB	B4galt2
REL	B9d2
NFKB	B9d2
RELA	Bach1
NFKB	Bach1
NFKB1	Bach2
NFKB2	Bach2
NFKB	Bach2
NFKB	Bag2
NFKB1	Bag4
NFKB	Bag4
RELA	Bag4
NFKB	Batf
NFKB	Batf3
NFKB	Baz1b
NFKB1	Baz1b
NFKB2	Bbx
RELA	Bbx
REL	Bbx
NFKB	Bbx
NFKB1	Bckdk
NFKB	Bckdk
NFKB1	Bcl11a
NFKB	Bcl11a
NFKB2	Bcl11a
NFKB	Bcl7c
NFKB1	Bcl7c
RELA	Bcor
NFKB1	Bcor
NFKB2	Bcor
NFKB	Bcor
NFKB	Bcs1l
RELA	Bcs1l
REL	Bcs1l
NFKB	Bex4
NFKB2	Bglap
RELA	Bglap
NFKB	Bglap
RELA	Bhlhe40
NFKB	Bhlhe40
NFKB	Bin1
RELA	Bin1
NFKB1	Bin1
REL	Bin1
NFKB	Birc3
REL	Birc3
RELA	Birc3
NFKB1	Birc3
NFKB2	Bloc1s1
NFKB	Bloc1s1
NFKB1	Bloc1s1
NFKB	Bnip1
RELA	Bnip1
REL	Bnip1
RELA	Brat1
NFKB	Brat1
REL	Brat1
NFKB1	Brat1
NFKB1	Brd8
NFKB	Brd8
NFKB1	Brf2
NFKB	Brf2
NFKB	Brms1
NFKB	Brox
NFKB	Bscl2
NFKB2	Bscl2
RELA	Bscl2
NFKB1	Bscl2
NFKB	Bsg
RELA	Bsg
NFKB	Bst2
REL	Btbd19
RELA	Btbd19
NFKB	Btbd19
NFKB2	Btbd19
NFKB1	Btbd19
NFKB	Btbd2
NFKB1	Btbd2
RELA	Btg2
NFKB1	Btg2
NFKB	Btg2
REL	Btg2
NFKB2	Btg2
NFKB	Btrc
NFKB	Bub3
NFKB1	Bub3
NFKB1	C1d
REL	C1d
RELA	C1d
NFKB	C1d
REL	C1qtnf6
RELA	C1qtnf6
NFKB	C1qtnf6
REL	C2cd2
RELA	C2cd2
NFKB	C2cd2
NFKB	C2cd2l
NFKB	C7
REL	C7
NFKB	Cacfd1
NFKB1	Cacna2d4
NFKB	Cacna2d4
NFKB	Cage1
NFKB2	Cage1
NFKB1	Cage1
REL	Calr
RELA	Calr
NFKB	Calr
RELA	Camk1d
NFKB	Camk1d
NFKB1	Camk1d
REL	Camk1d
NFKB2	Camk1d
NFKB	Camta1
REL	Camta1
NFKB1	Camta1
REL	Cand2
NFKB	Cand2
RELA	Cand2
NFKB	Capn1
RELA	Card11
NFKB1	Card11
NFKB	Card11
REL	Card11
REL	Card6
NFKB	Card6
NFKB	Casc3
RELA	Casc3
REL	Casc3
NFKB2	Casc3
NFKB1	Casc3
REL	Caskin2
NFKB	Caskin2
RELA	Caskin2
RELA	Casp6
NFKB	Casp6
REL	Casp6
NFKB	Casp9
NFKB2	Cbfa2t3
REL	Cbfa2t3
NFKB	Cbfa2t3
NFKB1	Cbfa2t3
RELA	Cbfa2t3
NFKB	Cbl
RELA	Cbr3
NFKB	Cbr3
REL	Cbr3
NFKB	Cbx2
NFKB	Cbx4
NFKB	Cbx8
NFKB	Cc2d1a
NFKB2	Cc2d1a
NFKB1	Cc2d1a
RELA	Ccdc124
NFKB	Ccdc124
REL	Ccdc124
REL	Ccdc130
NFKB2	Ccdc130
NFKB	Ccdc130
NFKB1	Ccdc130
REL	Ccdc157
NFKB	Ccdc157
NFKB1	Ccdc157
RELA	Ccdc157
NFKB1	Ccdc167
REL	Ccdc167
NFKB	Ccdc167
RELA	Ccdc167
NFKB2	Ccdc180
RELA	Ccdc180
NFKB	Ccdc180
NFKB1	Ccdc180
REL	Ccdc180
NFKB1	Ccdc69
NFKB	Ccdc69
REL	Ccdc82
RELA	Ccdc82
NFKB	Ccdc82
NFKB	Ccdc84
RELA	Ccdc88c
REL	Ccdc88c
NFKB	Ccdc88c
NFKB	Ccdc92
NFKB1	Ccdc92
NFKB2	Ccdc92
NFKB2	Ccdc93
RELA	Ccdc93
NFKB	Ccdc93
NFKB1	Ccdc93
NFKB	Cchcr1
REL	Cchcr1
NFKB1	Ccl5
NFKB	Ccl5
RELA	Ccl5
NFKB2	Ccl5
NFKB1	Ccng2
REL	Ccng2
RELA	Ccng2
NFKB	Ccng2
RELA	Ccni
NFKB	Ccni
REL	Ccni
NFKB	Ccnl1
RELA	Ccnl1
REL	Ccr7
NFKB1	Ccr7
RELA	Ccr7
NFKB2	Ccr7
NFKB	Ccr7
NFKB2	Cct3
RELA	Cct3
NFKB	Cct3
NFKB	Cct8
RELA	Cct8
NFKB	Cd274
NFKB1	Cd2bp2
NFKB	Cd2bp2
NFKB	Cd40
NFKB	Cd44
RELA	Cd44
REL	Cd44
NFKB	Cd52
REL	Cd52
RELA	Cd52
RELA	Cd69
NFKB	Cd69
NFKB	Cd74
NFKB1	Cd74
RELA	Cd83
NFKB	Cd83
NFKB2	Cd83
NFKB1	Cd83
REL	Cd86
NFKB1	Cd86
RELA	Cd86
NFKB	Cd86
NFKB2	Cdc14a
NFKB1	Cdc14a
NFKB	Cdc14a
NFKB1	Cdc23
NFKB	Cdc23
NFKB1	Cdc25c
NFKB	Cdc25c
RELA	Cdc34
NFKB	Cdc34
NFKB1	Cdc42ep3
NFKB	Cdc42ep3
RELA	Cdc42ep3
RELA	Cdc42ep5
NFKB	Cdc42ep5
REL	Cdc42se2
NFKB	Cdc42se2
RELA	Cdc5l
NFKB	Cdc5l
NFKB1	Cdc5l
NFKB2	Cdc5l
REL	Cdc5l
NFKB2	Cdc6
NFKB	Cdc6
NFKB1	Cdc6
RELA	Cdc6
REL	Cdc6
RELA	Cdk12
REL	Cdk12
NFKB	Cdk12
NFKB	Cdk13
NFKB1	Cdk13
NFKB	Cdk17
NFKB2	Cdk18
NFKB	Cdk18
NFKB1	Cdk18
NFKB	Cdk2ap1
NFKB	Cdk9
RELA	Cdk9
REL	Cdk9
NFKB	Cdkal1
RELA	Cdkn2aip
NFKB	Cdkn2aip
NFKB2	Cdr2
NFKB	Cdr2
NFKB	Cebpe
NFKB	Cebpz
RELA	Cenpm
NFKB	Cenpm
NFKB1	Cenpm
NFKB	Cenpo
NFKB	Cep72
NFKB2	Cep72
REL	Cep72
NFKB1	Cep72
NFKB	Cep85
REL	Cep85
RELA	Cep85
NFKB	Cerk
NFKB	Cfl1
NFKB	Cfl2
RELA	Cfl2
REL	Cfl2
NFKB	Chaf1b
NFKB1	Chaf1b
NFKB1	Chchd7
NFKB	Chchd7
REL	Chchd7
RELA	Chchd7
NFKB	Chd4
RELA	Chd4
REL	Chd4
NFKB	Chd8
NFKB	Chd9
RELA	Chd9
NFKB	Cherp
RELA	Cherp
RELA	Chic2
NFKB	Chic2
REL	Chic2
RELA	Chmp2a
NFKB	Chmp2a
REL	Chmp2b
RELA	Chmp2b
NFKB	Chmp2b
RELA	Chpt1
NFKB	Chpt1
REL	Chpt1
NFKB1	Chst12
NFKB	Chst12
RELA	Chst12
REL	Chst12
NFKB2	Chst13
NFKB1	Chst13
NFKB	Chst13
NFKB	Chst15
RELA	Chst15
NFKB2	Chst15
NFKB1	Chst15
RELA	Chtop
NFKB	Chtop
REL	Chtop
REL	Ciao1
NFKB	Ciao1
RELA	Ciao1
RELA	Cipc
REL	Cipc
NFKB	Cipc
NFKB1	Cipc
NFKB	Cir1
NFKB	Cirbp
RELA	Cirbp
NFKB1	Cited4
NFKB2	Cited4
NFKB	Cited4
NFKB	Ciz1
NFKB	Clec1b
REL	Clic4
NFKB	Clic4
RELA	Clic4
NFKB2	Clip4
NFKB1	Clip4
REL	Clip4
NFKB	Clip4
RELA	Clip4
REL	Cln6
NFKB	Cln6
RELA	Cln6
NFKB	Clns1a
NFKB	Clpx
RELA	Clpx
NFKB1	Clpx
NFKB	Clspn
RELA	Clspn
REL	Clspn
REL	Cluh
RELA	Cluh
NFKB1	Cluh
NFKB	Cluh
NFKB2	Cluh
REL	Cmtr1
RELA	Cmtr1
NFKB	Cmtr1
NFKB	Cnn2
RELA	Cnn2
NFKB	Cnn3
NFKB1	Cnn3
NFKB	Cnnm2
RELA	Cnnm2
REL	Cnnm3
NFKB	Cnnm3
RELA	Cnnm3
NFKB	Cnnm4
RELA	Cnnm4
REL	Cnnm4
NFKB	Cnot3
NFKB	Cnppd1
REL	Cnppd1
RELA	Cnppd1
NFKB	Cnpy2
NFKB1	Cnrip1
REL	Cnrip1
RELA	Cnrip1
NFKB	Cnrip1
NFKB	Cntrl
RELA	Cntrl
REL	Cntrob
NFKB	Cntrob
NFKB1	Cntrob
NFKB2	Cntrob
RELA	Col18a1
NFKB	Col18a1
REL	Col18a1
NFKB1	Col18a1
NFKB	Col6a1
RELA	Col6a1
NFKB1	Col6a1
REL	Col6a1
NFKB	Col6a2
REL	Colgalt1
RELA	Colgalt1
NFKB	Colgalt1
NFKB	Commd4
NFKB	Cope
NFKB1	Cope
NFKB1	Cops7b
NFKB	Cops7b
RELA	Cops7b
NFKB	Coq10b
NFKB1	Coq10b
NFKB	Coq4
NFKB	Coro1a
NFKB1	Coro1a
NFKB	Cotl1
RELA	Cotl1
REL	Cox10
RELA	Cox10
NFKB1	Cox10
NFKB	Cox10
NFKB	Cox11
NFKB	Cox18
REL	Cox18
RELA	Cox18
NFKB	Cpd
NFKB1	Cpd
NFKB	Cpsf4
NFKB2	Creb1
REL	Creb1
RELA	Creb1
NFKB	Creb1
NFKB1	Creb1
NFKB	Creb3
NFKB	Creld2
NFKB2	Creld2
NFKB1	Creld2
NFKB	Crk
NFKB1	Crtc1
NFKB	Crtc1
NFKB	Cs
REL	Csf1
NFKB2	Csf1
NFKB	Csf1
RELA	Csf1
RELA	Csf2rb
NFKB	Csf2rb
REL	Csf2rb
NFKB1	Csnk1g2
NFKB	Csnk1g2
NFKB1	Cstb
NFKB	Cstb
REL	Ctc1
NFKB1	Ctc1
NFKB2	Ctc1
NFKB	Ctc1
RELA	Ctdsp1
NFKB	Ctdsp1
REL	Ctdsp1
NFKB1	Ctf1
NFKB	Ctf1
NFKB	Ctnna1
NFKB1	Ctnna1
NFKB	Ctsz
NFKB	Cttnbp2nl
NFKB1	Cttnbp2nl
NFKB2	Ctu2
NFKB	Ctu2
RELA	Ctu2
REL	Ctu2
NFKB1	Ctu2
RELA	Cuedc2
NFKB	Cuedc2
RELA	Cuta
NFKB	Cuta
REL	Cuta
REL	Cwc15
NFKB	Cwc15
RELA	Cwc15
